gen,filename,PCE,donor
97,39_127_127_130_39,19.484026,D18
96,39_130_130_127_39,19.477676,D18
64,39_130_127_3_39,19.45034,D18
96,39_127_130_130_39,19.450125,D18
62,39_3_127_130_39,19.42809,D18
60,39_3_130_130_39,19.400215,D18
46,39_130_127_28_39,19.339658,D18
47,39_130_130_43_39,19.326292,D18
62,39_130_127_43_39,19.311777,D18
80,39_130_130_50_39,19.268582,D18
55,39_130_127_125_39,19.220609,D18
34,39_78_130_130_39,19.185868,D18
53,39_49_130_130_39,19.164846,D18
42,39_130_33_130_39,19.158208,D18
97,39_127_130_127_39,19.14413,D18
33,39_132_130_130_39,19.12488,D18
76,39_125_127_130_39,19.118465,D18
100,39_50_127_130_39,19.118132,D18
72,39_57_130_130_39,19.115518,D18
83,39_28_130_3_39,19.115077,D18
100,39_130_130_30_39,19.108408,D18
37,39_21_130_130_39,19.107991,D18
98,39_28_130_127_39,19.107772,D18
64,39_130_127_100_39,19.107763,D18
43,39_130_130_97_39,19.09741,D18
69,39_71_127_130_39,19.094253,D18
80,39_130_2_130_39,19.084661,D18
82,39_130_57_3_39,19.059194,D18
97,39_127_159_130_39,19.050608,D18
63,39_130_127_6_39,19.043622,D18
54,39_49_127_130_39,19.034561,D18
47,39_28_127_43_39,19.033296,D18
58,39_130_130_159_39,19.021585,D18
54,39_130_130_40_39,19.014131,D18
32,39_130_130_132_39,19.005568,D18
51,39_130_102_130_39,19.00062,D18
54,39_78_127_130_39,18.985405,D18
37,39_130_130_39_39,18.980601,D18
59,39_130_130_82_39,18.979375,D18
56,39_130_127_113_39,18.965504,D18
51,39_113_130_130_39,18.963485,D18
56,39_28_129_28_39,18.947182,D18
49,39_20_130_130_39,18.941564,D18
55,39_143_127_130_39,18.938811,D18
66,39_130_40_3_39,18.933231,D18
32,39_130_130_24_39,18.929726,D18
88,39_130_116_130_39,18.926203,D18
76,39_100_130_28_39,18.903869,D18
84,39_164_130_130_39,18.894081,D18
51,39_130_127_167_39,18.890975,D18
56,39_130_127_78_39,18.884131,D18
82,39_130_127_16_39,18.863898,D18
36,39_120_130_130_39,18.831779,D18
82,39_12_130_130_39,18.809516,D18
90,39_28_127_120_39,18.796524,D18
97,39_130_141_3_39,18.791409,D18
42,39_130_130_138_39,18.780998,D18
60,39_130_129_153_39,18.780906,D18
99,39_127_78_130_39,18.765969,D18
38,39_130_130_79_39,18.755534,D18
54,39_163_127_130_39,18.733118,D18
86,39_78_127_28_39,18.720687,D18
50,39_28_127_97_39,18.71111,D18
50,39_6_57_130_39,18.697072,D18
88,39_130_130_103_39,18.69557,D18
93,39_159_130_3_39,18.671193,D18
43,39_130_33_43_39,18.660865,D18
75,39_99_130_3_39,18.630624,D18
80,39_86_127_130_39,18.628473,D18
32,39_130_130_2_39,18.613145,D18
98,39_127_127_127_39,18.601241,D18
35,39_83_66,18.588328,D18
