donor,best PCE
100_99_111101,21.11091
100_99_101111,21.053407
260_99_101111,21.016735
100_99_100111,20.976921
383_99_101111,20.945095
100_99_110011,20.912724
100_99_111010,20.907488
100_99_011011,20.826836
100_99_101100,20.801882
100_99_000111,20.793625
260_99_111101,20.777369
100_99_110010,20.775005
100_99_101010,20.766998
100_99_100101,20.71798
100_99_001110,20.717036
100_99_100011,20.700149
100_99_010010,20.698578
100_99_010110,20.694759
100_99_010001,20.688622
100_99_011100,20.666864
100_99_100110,20.657512
1050_99_111001,20.648055
100_99_001001,20.637049
100_99_001011,20.634798
1050_99_100111,20.623266
100_99_110000,20.56686
100_99_111000,20.566655
100_99_101000,20.560764
100_99_011000,20.54632
100_99_001010,20.545659
100_99_100010,20.527645
920_99_110011,20.502439
100_99_100100,20.496752
579_99_100111,20.470919
100_99_100000,20.433812
100_99_000101,20.42529
260_99_100111,20.425153
100_99_001000,20.400904
1050_99_111100,20.392313
579_99_110011,20.385912
100_99_010100,20.383243
399_99_111001,20.382363
100_99_000100,20.381516
260_99_001111,20.381428
687_99_111001,20.378393
100_99_000001,20.373243
1024_99_100111,20.365818
1050_99_110011,20.364921
100_99_000011,20.359824
100_99_000010,20.359645
576_99_100111,20.329677
920_99_111001,20.328721
1024_99_110011,20.328709
260_99_101011,20.290179
399_99_100111,20.288483
1057_99_101111,20.279041
861_99_100111,20.275307
920_99_101011,20.273389
1050_99_001111,20.269311
368_99_111001,20.256965
920_99_100111,20.255715
1050_99_101011,20.254401
687_99_001111,20.252499
260_99_111001,20.251064
920_99_111100,20.238807
861_99_110011,20.231415
399_99_110011,20.223043
100_99_010000,20.220397
920_99_010111,20.211654
254_99_100111,20.204808
920_99_101101,20.192719
920_99_001111,20.18735
1050_99_110110,20.184884
599_99_110011,20.170146
1050_99_011011,20.156195
1024_99_101011,20.152218
1050_99_011101,20.144343
1024_99_111100,20.132498
687_99_100111,20.128083
1050_99_111010,20.117023
399_99_111100,20.111643
687_99_111100,20.111416
687_99_011011,20.080754
687_99_110101,20.074259
118_99_111100,20.072671
121_99_110011,20.068594
118_99_100111,20.068159
260_99_010111,20.064747
121_99_100111,20.063561
1050_99_100011,20.061965
1050_99_101101,20.060393
1050_99_010111,20.05649
934_99_100111,20.054656
121_99_001111,20.051853
260_55_111101,20.044318
1050_99_110001,20.042148
1024_99_111001,20.034691
934_99_001111,20.03036
260_99_110101,20.030059
920_99_111010,20.029403
260_99_101101,20.029055
260_99_011011,20.028651
1050_99_110101,20.026297
118_99_001111,20.025128
100_100_101111,20.024692
100_99_000000,20.023907
1088_99_110011,20.019065
17_99_111001,20.012063
1050_99_110010,20.008757
861_99_001111,20.008255
146_99_100111,20.008203
920_99_110001,20.007751
1050_99_101001,19.998041
687_99_110011,19.993518
276_99_100111,19.986479
587_99_100111,19.982499
1184_99_100111,19.977341
260_99_111100,19.976171
1024_99_101101,19.973379
121_99_111010,19.971123
646_99_100111,19.96672
578_99_111001,19.966175
1024_99_001111,19.962578
1143_99_100011,19.954488
260_99_110011,19.950218
776_99_100111,19.947847
118_99_010111,19.944339
687_99_010111,19.93533
260_99_101110,19.922876
925_99_110011,19.917295
920_99_010011,19.913291
184_99_100111,19.908302
566_99_111100,19.907973
121_99_111100,19.897778
683_99_110011,19.892089
421_99_111100,19.880036
121_99_011011,19.874634
399_99_000111,19.873492
920_99_100011,19.870074
687_99_101101,19.854244
881_99_111001,19.84667
260_99_111010,19.846606
1050_99_100110,19.846121
1118_99_100111,19.845524
659_99_001111,19.842684
1050_99_011110,19.829046
1202_99_100111,19.827802
773_99_111001,19.827458
1016_99_100111,19.826378
1050_167_001111,19.814279
118_99_011011,19.80309
717_99_100111,19.78582
34_99_001111,19.775265
453_99_111001,19.774788
324_99_110011,19.77381
260_99_000111,19.769111
1050_99_011001,19.767268
1050_99_100101,19.755956
655_99_011011,19.747222
1037_99_100111,19.747099
1050_99_001101,19.743771
1050_99_010101,19.740724
1017_99_111010,19.73428
660_99_001111,19.722201
920_99_101001,19.713546
1050_99_000111,19.71145
828_99_110011,19.709088
1050_99_111000,19.708337
920_99_101100,19.698123
1050_99_001011,19.691592
1050_99_101100,19.689388
516_99_100111,19.682522
687_99_101001,19.679254
863_99_100111,19.675786
260_99_101001,19.674119
399_99_100110,19.659178
260_99_100011,19.655372
855_99_001111,19.647858
1050_99_101010,19.637976
1050_99_001110,19.637038
100_1161_010010,19.634491
1145_99_100111,19.632278
920_99_110100,19.626438
876_99_111001,19.618321
260_99_100101,19.617822
726_99_100111,19.614901
1050_99_010110,19.613034
920_99_011001,19.598745
1050_99_011010,19.591327
260_99_010011,19.583435
260_99_001110,19.581492
687_99_101100,19.566255
934_99_100101,19.565189
778_99_011011,19.564839
260_99_001101,19.564041
100_61_111000,19.544651
121_99_101001,19.539846
423_99_100111,19.537097
754_99_100111,19.533563
260_99_110001,19.529306
399_99_001110,19.526769
1050_99_011100,19.524446
1024_99_100011,19.518464
576_99_110100,19.515739
579_99_111000,19.502696
383_99_011101,19.466447
260_99_101010,19.458058
1024_99_010011,19.45359
687_99_001011,19.438502
260_99_011001,19.437534
579_99_100011,19.43732
399_99_110001,19.433644
576_99_100110,19.425204
1050_61_110111,19.423178
410_99_110011,19.423173
687_99_110100,19.422689
920_99_011010,19.421662
1128_99_100111,19.411438
100_624_010010,19.411045
687_61_111101,19.405331
260_99_100110,19.404829
260_99_110100,19.403274
383_99_111010,19.390607
184_61_111011,19.383721
1050_61_111011,19.381387
934_99_100110,19.379479
399_99_101100,19.377287
920_61_110111,19.374986
260_99_101100,19.371797
260_99_011100,19.369932
920_99_010010,19.369716
399_99_000011,19.344419
121_61_110111,19.327829
260_99_110010,19.317291
1050_99_010010,19.311531
687_99_011001,19.308383
1050_99_100001,19.30224
260_99_011010,19.291366
133_99_100011,19.28205
1024_99_100110,19.281657
920_61_101111,19.274726
100_1190_010010,19.273089
994_99_010110,19.269579
920_61_111011,19.264968
595_99_100011,19.259816
260_99_010110,19.256141
1050_61_100111,19.255963
1050_61_111101,19.245479
1050_61_101111,19.228769
121_61_101111,19.228431
452_99_101100,19.226687
934_61_111011,19.21489
687_61_111011,19.206562
121_99_101010,19.203166
1050_99_010100,19.203005
1050_99_100100,19.196351
824_61_111011,19.192919
17_61_111101,19.187749
17_61_110111,19.187223
920_99_100001,19.1836
185_61_111101,19.180644
100_215_010001,19.180515
1050_99_110000,19.180086
517_99_001110,19.179307
206_99_111100,19.178102
100_508_100111,19.164305
233_99_101001,19.159394
112_61_111011,19.154851
1024_99_101100,19.149451
100_1034_110010,19.14029
687_61_101111,19.132746
17_61_101111,19.130613
920_61_111001,19.130466
920_61_100111,19.122471
1145_99_011100,19.107639
1050_99_000101,19.101488
824_61_101111,19.101043
121_61_111101,19.098384
1050_99_101000,19.098369
1050_58_110011,19.093405
121_61_111011,19.090622
1050_99_000110,19.090449
1113_61_101111,19.083337
100_329_010110,19.079732
730_99_100011,19.079111
327_61_101111,19.073722
1118_61_110111,19.071514
920_99_000011,19.067308
1050_99_001001,19.064679
184_99_111000,19.0571
100_161_101100,19.056519
824_5_110011,19.056401
327_61_111101,19.056134
6_61_111011,19.055626
484_61_111101,19.050507
100_1173_010110,19.049811
1050_61_110011,19.049036
824_61_100111,19.043426
260_99_100100,19.039403
