gen,filename,PCE,donor
1,39_21_20,17.040537,PBCT-2F,
1,27_100_27,16.881912,D18,
1,63_113_23,16.243840,PBCT-2F,
1,29_92_29,16.047778,PBCT-2F,
1,33_65_33,14.860102,PBB-F,
1,65_121_65,14.794386,PBB-F,
1,9_40_62,14.757791,PBB-F,
1,38_64_38,14.260451,PBB-F,
1,15_18_25,14.127289,PBB-F,
1,32_111_55,14.105563,PBB-F,
1,31_64_26,14.029867,PBB-F,
1,10_53_10,13.776866,PBB-F,
1,46_20_46,13.765069,PBB-F,
1,22_85_22,13.704830,PBCT-2F,
1,35_136_35,13.648248,PBB-F,
1,33_17_60,13.599053,PBB-F,
1,50_99_50,13.582477,PBB-F,
1,68_81_8,13.559356,PBB-F,
1,27_29_23,13.511684,PBB-F,
1,62_41_42,13.461379,PBB-F,
1,22_62_22,13.443242,PBB-F,
1,6_129_6,13.405750,D18,
1,42_4_42,13.363209,PBB-F,
1,35_1_57,13.310748,PBB-F,
1,8_20_8,13.161475,PBB-F,
1,31_74_31,13.093911,PBB-F,
1,5_38_5,13.032380,PBB-F,
1,24_53_18,13.023459,PBB-F,
1,17_123_57,12.978614,PBB-F,
1,45_17_45,12.955446,PBB-F,
1,31_4_24,12.816869,PBB-F,
1,56_128_11,12.750659,PBB-F,
2,27_100_29,17.230527,PBCT-2F,
2,39_21_20,17.040537,PBCT-2F,
2,46_100_46,16.910750,PBCT-2F,
2,27_100_27,16.881912,D18,
2,63_26_26,16.393899,PBCT-2F,
2,39_60_60,16.284359,PBCT-2F,
2,63_113_23,16.243840,PBCT-2F,
2,29_92_29,16.047778,PBCT-2F,
2,65_65_65,14.873294,PBB-F,
2,33_65_33,14.860102,PBB-F,
2,65_121_65,14.794386,PBB-F,
2,9_40_62,14.757791,PBB-F,
2,27_121_65,14.675096,PBB-F,
2,9_40_65,14.636817,PBB-F,
2,38_64_65,14.551336,PBB-F,
2,33_64_26,14.535125,PBB-F,
2,33_40_32,14.467111,PBB-F,
2,38_64_38,14.260451,PBB-F,
2,38_64_50,14.152747,PBB-F,
2,15_18_25,14.127289,PBB-F,
2,32_111_55,14.105563,PBB-F,
2,31_64_26,14.029867,PBB-F,
2,46_20_60,13.831691,PBB-F,
2,27_55_55,13.813204,PBB-F,
2,15_53_10,13.812862,PBB-F,
2,10_53_10,13.776866,PBB-F,
2,46_20_46,13.765069,PBB-F,
2,50_40_22,13.737467,PBB-F,
2,22_85_22,13.704830,PBCT-2F,
2,35_136_35,13.648248,PBB-F,
2,5_20_65,13.648243,PBB-F,
2,33_17_60,13.599053,PBB-F,
3,65_100_65,17.388254,PBCT-2F,
3,27_100_29,17.230527,PBCT-2F,
3,39_21_20,17.040537,PBCT-2F,
3,47_100_27,16.935915,PBCT-2F,
3,46_100_46,16.910750,PBCT-2F,
3,27_100_27,16.881912,D18,
3,65_26_47,16.416786,PBCT-2F,
3,63_26_26,16.393899,PBCT-2F,
3,39_60_60,16.284359,PBCT-2F,
3,63_113_23,16.243840,PBCT-2F,
3,29_92_29,16.047778,PBCT-2F,
3,63_92_26,16.008387,PBCT-2F,
3,39_65_33,15.959772,PBCT-2F,
3,39_65_33,15.959772,PBCT-2F,
3,53_92_65,15.535307,D18,
3,9_60_65,14.979242,PBB-F,
3,65_65_65,14.873294,PBB-F,
3,33_65_33,14.860102,PBB-F,
3,27_65_65,14.835941,PBB-F,
3,27_65_65,14.835941,PBB-F,
3,65_121_65,14.794386,PBB-F,
3,9_40_62,14.757791,PBB-F,
3,27_121_65,14.675096,PBB-F,
3,9_40_65,14.636817,PBB-F,
3,65_64_33,14.619051,PBB-F,
3,38_64_65,14.551336,PBB-F,
3,33_64_26,14.535125,PBB-F,
3,27_121_27,14.507567,PBB-F,
3,27_40_27,14.428122,PBB-F,
3,27_121_36,14.423190,PBB-F,
3,65_121_48,14.416572,PBB-F,
3,46_64_42,14.244994,PBB-F,
4,39_100_33,18.272800,PBCT-2F,
4,39_113_23,17.510350,PBCT-2F,
4,65_100_65,17.388254,PBCT-2F,
4,39_92_60,17.252293,PBCT-2F,
4,27_100_29,17.230527,PBCT-2F,
4,39_21_20,17.040537,PBCT-2F,
4,47_100_27,16.935915,PBCT-2F,
4,46_100_46,16.910750,PBCT-2F,
4,27_100_27,16.881912,D18,
4,65_100_35,16.729711,PBCT-2F,
4,63_26_65,16.619814,PBCT-2F,
4,65_26_54,16.609420,PBCT-2F,
4,27_100_14,16.551703,PBCT-2F,
4,47_113_27,16.503145,PBCT-2F,
4,46_26_27,16.478696,PBCT-2F,
4,14_100_33,16.437868,PBCT-2F,
4,65_26_47,16.416786,PBCT-2F,
4,63_26_26,16.393899,PBCT-2F,
4,65_100_20,16.284403,PBCT-2F,
4,39_60_60,16.284359,PBCT-2F,
4,63_113_23,16.243840,PBCT-2F,
4,29_92_29,16.047778,PBCT-2F,
4,63_92_26,16.008387,PBCT-2F,
4,39_65_33,15.959772,PBCT-2F,
4,39_65_33,15.959772,PBCT-2F,
4,47_92_26,15.643799,PBCT-2F,
4,53_92_65,15.535307,D18,
4,63_92_23,15.455160,PBCT-2F,
4,9_60_65,14.979242,PBB-F,
4,9_65_33,14.969245,PBB-F,
4,39_20_20,14.940818,PBCT-2F,
4,53_65_33,14.349504,PBB-F,
5,39_100_33,18.272800,PBCT-2F,
5,39_113_23,17.510350,PBCT-2F,
5,65_100_65,17.388254,PBCT-2F,
5,27_100_65,17.324225,PBCT-2F,
5,27_100_65,17.324225,PBCT-2F,
5,39_92_60,17.252293,PBCT-2F,
5,65_100_54,17.234160,PBCT-2F,
5,27_100_29,17.230527,PBCT-2F,
5,39_21_20,17.040537,PBCT-2F,
5,47_100_27,16.935915,PBCT-2F,
5,46_100_33,16.925708,PBCT-2F,
5,46_100_46,16.910750,PBCT-2F,
5,27_100_27,16.881912,D18,
5,17_100_27,16.861505,PBCT-2F,
5,65_100_35,16.729711,PBCT-2F,
5,63_113_27,16.704458,PBCT-2F,
5,63_26_65,16.619814,PBCT-2F,
5,65_26_54,16.609420,PBCT-2F,
5,27_100_68,16.552564,PBCT-2F,
5,27_100_14,16.551703,PBCT-2F,
5,14_100_29,16.532409,PBCT-2F,
5,47_113_27,16.503145,PBCT-2F,
5,46_26_27,16.478696,PBCT-2F,
5,14_100_33,16.437868,PBCT-2F,
5,47_92_27,15.847719,PBCT-2F,
5,48_100_14,15.779339,PBCT-2F,
5,46_44_46,14.478939,PBB-F,
5,27_33_33,13.773338,PBB-F,
5,46_96_14,13.667878,PBB-F,
5,47_15_65,13.635703,PBB-F,
5,46_27_27,13.602909,PBB-F,
5,46_27_27,13.602909,PBB-F,
6,39_100_33,18.272800,PBCT-2F,
6,46_100_39,18.133978,PBCT-2F,
6,39_113_23,17.510350,PBCT-2F,
6,65_100_65,17.388254,PBCT-2F,
6,65_100_25,17.342178,PBCT-2F,
6,65_100_33,17.335043,PBCT-2F,
6,27_100_65,17.324225,PBCT-2F,
6,27_100_65,17.324225,PBCT-2F,
6,39_92_60,17.252293,PBCT-2F,
6,65_100_54,17.234160,PBCT-2F,
6,27_100_29,17.230527,PBCT-2F,
6,39_21_20,17.040537,PBCT-2F,
6,46_100_54,17.009050,PBCT-2F,
6,47_100_27,16.935915,PBCT-2F,
6,46_100_33,16.925708,PBCT-2F,
6,46_100_46,16.910750,PBCT-2F,
6,27_100_27,16.881912,D18,
6,15_100_46,16.875347,PBCT-2F,
6,17_100_27,16.861505,PBCT-2F,
6,47_100_33,16.813845,PBCT-2F,
6,65_100_35,16.729711,PBCT-2F,
6,63_113_27,16.704458,PBCT-2F,
6,47_100_47,16.582404,PBCT-2F,
6,47_113_27,16.503145,PBCT-2F,
6,47_113_27,16.503145,PBCT-2F,
6,27_100_5,16.336262,PBCT-2F,
6,65_100_20,16.284403,PBCT-2F,
6,65_113_23,16.239397,PBCT-2F,
6,31_92_60,15.288334,PBCT-2F,
6,39_33_33,15.140921,PBCT-2F,
6,39_46_46,14.881487,PBB-F,
6,65_33_33,13.943546,PBB-F,
7,39_92_39,18.483326,PBCT-2F,
7,39_100_33,18.272800,PBCT-2F,
7,27_100_39,18.253739,PBCT-2F,
7,46_100_39,18.133978,PBCT-2F,
7,39_100_38,18.081066,PBCT-2F,
7,39_113_23,17.510350,PBCT-2F,
7,65_100_65,17.388254,PBCT-2F,
7,65_100_25,17.342178,PBCT-2F,
7,65_100_33,17.335043,PBCT-2F,
7,27_100_65,17.324225,PBCT-2F,
7,27_100_65,17.324225,PBCT-2F,
7,39_92_60,17.252293,PBCT-2F,
7,65_100_54,17.234160,PBCT-2F,
7,27_100_29,17.230527,PBCT-2F,
7,46_100_65,17.201888,PBCT-2F,
7,65_100_46,17.111834,PBCT-2F,
7,65_100_27,17.095999,PBCT-2F,
7,39_21_20,17.040537,PBCT-2F,
7,46_100_54,17.009050,PBCT-2F,
