gen,filename,PCE,donor
1,63_51_0,15.411097,PBQx-TF,
1,0_135_0,15.102963,PBCT-2F,
1,1_26_46,14.614026,PBQx-TF,
1,24_57_62,14.517309,PBQx-TF,
1,55_107_55,14.332287,PTQ10,
1,30_22_30,14.299308,PBQx-TF,
1,57_88_57,13.148881,PBCT-2F,
1,62_52_57,13.103041,PBDB-T-2Cl,
1,4_37_31,12.835773,PTQ10,
1,32_70_32,12.596441,PTQ10,
1,52_64_63,12.521376,PBDB-TSCl,
1,64_120_64,12.374097,PBDB-T-SF,
1,21_70_21,12.342969,D18,
1,68_76_68,12.323532,PTQ11,
1,44_72_44,12.259589,PTQ11,
1,63_87_63,12.192076,D18,
1,11_6_26,12.185731,PTO2,
1,8_5_8,12.171862,PBDD4T-2F,
1,31_121_31,12.161104,PBDB-T-SF,
1,56_111_25,12.140241,PBTA-PSF,
1,30_93_30,12.074168,PBDB-TSCl,
1,49_9_6,12.070002,D18,
1,25_75_31,12.068338,PBTA-PSF,
1,14_80_30,12.061042,PBTA-PSF,
1,67_39_67,11.992073,P1_yang,
1,35_15_19,11.974190,PBDBT-4Cl,
1,7_9_46,11.960625,PBQx-TF,
1,13_128_22,11.958735,PBDB-T-SF,
1,5_54_5,11.914633,PBDBT-4Cl,
1,34_124_34,11.901570,PBTA-PSF,
1,13_98_57,11.888072,PBDB-TF,
1,30_36_65,11.836386,PBDB-T-SF,
2,63_51_0,15.411097,PBQx-TF,
2,0_78_0,15.309044,D18,
2,63_57_27,15.105654,PBQx-TF,
2,0_135_0,15.102963,PBCT-2F,
2,57_57_62,14.948318,PBQx-TF,
2,30_51_15,14.892136,PBQx-TF,
2,30_22_64,14.718657,PBDB-TF,
2,62_22_57,14.642989,PBDB-TF,
2,1_26_46,14.614026,PBQx-TF,
2,24_57_62,14.517309,PBQx-TF,
2,30_22_2,14.419972,PBQx-TF,
2,55_107_55,14.332287,PTQ10,
2,30_22_30,14.299308,PBQx-TF,
2,21_57_21,13.630367,PBDB-TF,
2,63_0_0,13.495134,PBQx-TF,
2,12_52_55,13.302445,PBDB-T-2Cl,
2,57_88_57,13.148881,PBCT-2F,
2,62_52_57,13.103041,PBDB-T-2Cl,
2,57_88_68,12.924005,PBCT-2F,
2,57_37_31,12.881404,PBQx-TF,
2,30_64_63,12.856447,PBDB-TF,
2,4_37_31,12.835773,PTQ10,
2,63_70_15,12.753769,PBQx-TF,
2,32_70_32,12.596441,PTQ10,
2,64_70_64,12.578903,PBDTS-TDZ,
2,52_64_63,12.521376,PBDB-TSCl,
2,64_120_64,12.374097,PBDB-T-SF,
2,21_70_21,12.342969,D18,
2,68_76_68,12.323532,PTQ11,
2,44_72_44,12.259589,PTQ11,
2,63_87_63,12.192076,D18,
2,64_120_62,12.170454,J100,
3,63_51_0,15.411097,PBQx-TF,
3,63_78_0,15.393159,PBDB-TF,
3,0_78_0,15.309044,D18,
3,12_78_0,15.291364,PBDB-TF,
3,63_57_0,15.189684,PBDB-TF,
3,61_22_2,15.167534,PBDB-TF,
3,63_57_27,15.105654,PBQx-TF,
3,0_135_0,15.102963,PBCT-2F,
3,0_51_15,15.026064,PBQx-TF,
3,0_22_0,14.965390,PBDB-TF,
3,57_57_62,14.948318,PBQx-TF,
3,30_51_15,14.892136,PBQx-TF,
3,30_78_64,14.822774,D18,
3,11_22_2,14.816549,PBDB-TF,
3,30_22_64,14.718657,PBDB-TF,
3,62_22_57,14.642989,PBDB-TF,
3,1_26_46,14.614026,PBQx-TF,
3,30_51_30,14.575472,PBQx-TF,
3,24_57_62,14.517309,PBQx-TF,
3,30_22_2,14.419972,PBQx-TF,
3,57_57_46,14.365808,PBQx-TF,
3,55_107_55,14.332287,PTQ10,
3,30_22_30,14.299308,PBQx-TF,
3,30_22_43,14.214875,PBQx-TF,
3,63_0_63,13.790138,PBQx-TF,
3,0_0_0,13.704594,PBDB-TF,
