gen,filename,PCE,donor
1,27_100_27,16.561280,PBCT-2F,
1,39_21_20,16.253807,PBCT-2F,
1,63_113_23,15.542600,PBCT-2F,
1,29_92_29,15.358614,PBCT-2F,
1,65_121_65,14.773720,PBB-F,
1,9_40_62,14.624122,PBCT-2F,
1,33_65_33,14.512801,PBCT-2F,
1,38_64_38,13.999200,PBB-F,
1,32_111_55,13.832547,PBB-F,
1,15_18_25,13.822393,PBB-F,
1,31_64_26,13.645433,PBCT-2F,
1,46_20_46,13.629584,PBB-F,
1,6_129_6,13.596767,PBB-F,
1,27_29_23,13.486504,PBB-F,
1,42_4_42,13.476170,PBCT-2F,
1,10_53_10,13.475047,PBB-F,
1,33_17_60,13.442559,PBB-F,
1,22_85_22,13.348630,PBCT-2F,
1,35_136_35,13.275550,PBCT-2F,
1,22_62_22,13.265866,PBCT-2F,
1,68_81_8,13.240782,PBB-F,
1,35_1_57,13.166875,PBB-F,
1,62_41_42,13.101910,PBB-F,
1,50_99_50,13.099303,PBB-F,
1,8_20_8,12.977676,PBB-F,
1,31_4_24,12.852480,PBB-F,
1,45_17_45,12.828230,PBB-F,
1,17_123_57,12.787008,PBB-F,
1,31_74_31,12.725521,PBB-F,
1,24_53_18,12.710859,PBB-F,
1,56_128_11,12.588053,PBB-F,
1,5_38_5,12.556878,PBB-F,
2,27_100_27,16.561280,PBCT-2F,
2,39_21_29,16.283907,PBCT-2F,
2,39_21_20,16.253807,PBCT-2F,
2,63_26_26,15.891666,PBCT-2F,
2,39_40_62,15.555768,PBCT-2F,
2,63_113_23,15.542600,PBCT-2F,
2,6_21_6,15.447246,PBCT-2F,
2,29_92_29,15.358614,PBCT-2F,
2,65_121_65,14.773720,PBB-F,
2,65_65_32,14.717584,PBCT-2F,
2,33_65_62,14.685546,PBCT-2F,
2,9_40_62,14.624122,PBCT-2F,
2,9_121_62,14.614482,PBB-F,
2,33_65_33,14.512801,PBCT-2F,
2,39_25_25,14.495489,PBB-F,
2,65_64_26,14.438304,PBCT-2F,
2,38_64_62,14.416596,PBCT-2F,
2,38_64_38,13.999200,PBB-F,
2,38_64_50,13.852650,PBB-F,
2,32_111_55,13.832547,PBB-F,
2,15_18_25,13.822393,PBB-F,
2,32_20_46,13.674584,PBB-F,
2,31_64_26,13.645433,PBCT-2F,
2,46_20_46,13.629584,PBB-F,
2,6_129_6,13.596767,PBB-F,
2,50_65_23,13.591471,PBCT-2F,
2,27_29_23,13.486504,PBB-F,
2,42_4_42,13.476170,PBCT-2F,
2,10_53_10,13.475047,PBB-F,
2,6_129_10,13.358314,PBB-F,
2,5_129_62,13.082579,PBB-F,
2,27_10_10,13.058556,PBB-F,
3,39_92_62,16.770927,PBCT-2F,
3,27_100_27,16.561280,PBCT-2F,
3,39_21_29,16.283907,PBCT-2F,
3,39_21_20,16.253807,PBCT-2F,
3,63_26_26,15.891666,PBCT-2F,
3,47_26_26,15.653589,PBCT-2F,
3,39_40_62,15.555768,PBCT-2F,
3,39_65_32,15.545238,PBCT-2F,
3,63_113_23,15.542600,PBCT-2F,
3,6_21_6,15.447246,PBCT-2F,
3,29_92_29,15.358614,PBCT-2F,
3,33_21_62,15.345185,PBCT-2F,
3,39_64_42,15.114704,PBCT-2F,
3,53_92_25,15.002660,PBCT-2F,
3,9_65_62,14.817478,PBCT-2F,
3,65_121_65,14.773720,PBB-F,
3,65_65_32,14.717584,PBCT-2F,
3,63_121_65,14.714208,PBB-F,
3,33_65_62,14.685546,PBCT-2F,
