gen,filename,PCE,donor
1,28_133_39,15.308733,PBQx-TF,
1,7_51_64,14.751051,D18,
1,26_24_4,14.698742,PBQx-TF,
1,64_92_26,14.424856,D18,
1,32_24_32,14.420692,D18,
1,66_22_52,14.095834,PBQx-TF,
1,16_103_16,13.906615,D18,
1,64_64_64,13.820173,D18,
1,2_136_2,13.513074,PBQx-TF,
1,50_101_45,13.415925,D18,
1,2_67_50,13.400700,D18,
1,9_123_9,13.206906,D18,
1,28_73_28,13.144628,PBQx-TF,
1,15_44_57,13.122144,PBQx-TF,
1,40_56_40,13.057809,D18,
1,55_110_55,13.026526,D18,
1,40_11_40,13.017416,D18,
1,43_42_43,13.008691,D18,
1,29_55_29,12.846121,D18,
1,45_119_45,12.711729,D18,
1,7_76_7,12.706668,D18,
1,63_32_63,12.697743,D18,
1,53_38_43,12.550674,D18,
1,56_76_56,12.540773,D18,
1,13_62_56,12.532674,PBQx-TF,
1,5_94_5,12.519547,D18,
1,56_49_56,12.460306,PBB-F,
1,4_18_53,12.371222,D18,
1,53_19_53,12.322298,D18,
1,43_25_52,12.297366,D18,
1,53_109_53,12.208428,D18,
1,57_84_57,12.196675,PBTA-PSF,
2,28_133_39,15.308733,PBQx-TF,
2,26_22_4,14.846090,PBQx-TF,
2,64_92_64,14.806364,D18,
2,7_51_64,14.751051,D18,
2,26_24_4,14.698742,PBQx-TF,
2,64_92_26,14.424856,D18,
2,32_24_32,14.420692,D18,
2,21_24_32,14.303591,D18,
2,16_51_16,14.289445,D18,
2,7_2_2,14.227659,PBQx-TF,
2,66_22_52,14.095834,PBQx-TF,
2,16_103_16,13.906615,D18,
2,64_64_64,13.820173,D18,
2,50_103_50,13.731954,D18,
2,2_136_2,13.513074,PBQx-TF,
2,50_101_45,13.415925,D18,
2,2_67_50,13.400700,D18,
2,7_56_64,13.322570,D18,
2,28_73_64,13.286833,D18,
2,9_123_9,13.206906,D18,
2,28_56_40,13.195760,D18,
2,28_73_28,13.144628,PBQx-TF,
2,15_44_57,13.122144,PBQx-TF,
2,2_56_2,13.078513,PBQx-TF,
2,40_56_40,13.057809,D18,
2,55_110_55,13.026526,D18,
2,55_110_32,12.986002,D18,
2,32_44_57,12.965358,PBQx-TF,
2,15_110_55,12.952283,D18,
2,26_1_40,12.733953,D18,
2,10_123_50,12.583131,PBQx-TF,
2,55_41_55,12.455669,PBQx-TF,
3,28_133_39,15.308733,PBQx-TF,
3,66_103_16,14.925058,D18,
3,64_51_16,14.906058,D18,
3,26_22_4,14.846090,PBQx-TF,
3,64_92_64,14.806364,D18,
3,16_51_64,14.783017,D18,
3,7_51_64,14.751051,D18,
3,26_24_4,14.698742,PBQx-TF,
3,26_24_68,14.648619,D18,
3,21_24_16,14.439034,D18,
3,64_92_26,14.424856,D18,
3,32_24_32,14.420692,D18,
3,21_24_32,14.303591,D18,
3,16_51_16,14.289445,D18,
3,7_2_2,14.227659,PBQx-TF,
3,66_22_52,14.095834,PBQx-TF,
3,16_103_16,13.906615,D18,
3,26_64_64,13.899312,D18,
3,50_92_31,13.870104,PBQx-TF,
3,50_92_50,13.863574,D18,
3,64_64_64,13.820173,D18,
3,50_103_50,13.731954,D18,
3,53_92_64,13.723951,D18,
3,16_92_16,13.699055,D18,
3,2_136_2,13.513074,PBQx-TF,
3,7_101_2,13.504032,D18,
3,2_136_64,13.485919,D18,
3,50_101_2,13.426297,D18,
3,50_101_45,13.415925,D18,
3,16_101_45,13.362463,D18,
3,2_52_52,13.169307,D18,
3,50_136_2,13.044217,PBQx-TF,
4,26_51_64,15.682137,D18,
4,28_133_39,15.308733,PBQx-TF,
4,28_24_28,14.968835,D18,
4,26_51_4,14.939398,PBQx-TF,
4,66_103_16,14.925058,D18,
4,64_51_16,14.906058,D18,
4,26_22_4,14.846090,PBQx-TF,
4,22_51_64,14.833536,D18,
4,64_92_64,14.806364,D18,
4,16_51_64,14.783017,D18,
4,7_51_64,14.751051,D18,
4,66_24_16,14.738522,D18,
