gen,filename,PCE,donor
1,35_6_86_6_35,16.009932,PBCT-2F,
1,9_41_104_162_15,15.867437,PBCT-2F,
1,36_32_117_94_36,15.499738,PBCT-2F,
1,62_103_113_103_6,15.265500,PBCT-2F,
1,35_91_127_91_35,14.998364,PBB-F,
1,42_27_78_27_3,14.958288,PBCT-2F,
1,15_6_92_133_58,14.839217,PBCT-2F,
1,5_21_114_21_42,14.386668,PBCT-2F,
1,53_133_37_26_38,14.195071,PBCT-2F,
1,60_164_29_164_60,14.166178,PBB-F,
1,33_116_29_161_58,13.947136,PBB-F,
1,9_63_19_63_9,13.789363,PBB-F,
1,10_126_19_126_10,13.763468,PBB-F,
1,59_38_101_148_59,13.756605,PBB-F,
1,64_159_36_159_64,13.731239,PBB-F,
1,56_139_79_102_56,13.722650,PBB-F,
1,28_39_94_167_28,13.627646,PBB-F,
1,58_128_120_128_26,13.623902,PBB-F,
1,21_16_124_16_21,13.598103,PBB-F,
1,8_58_119_58_51,13.577047,PBB-F,
1,10_145_101_145_10,13.566774,PBB-F,
1,36_30_98_30_36,13.521379,PBB-F,
1,24_47_74_47_24,13.479709,PBB-F,
1,59_85_23_85_59,13.476801,PBB-F,
1,19_53_79_53_12,13.429837,PBB-F,
1,18_61_74_63_18,13.382985,PBB-F,
1,41_96_18_96_41,13.272718,PBB-F,
1,32_93_3_134_56,13.172193,PBB-F,
1,47_11_7_11_46,13.137379,PBB-F,
1,21_51_6_51_21,13.005264,PBB-F,
1,46_118_12_121_52,12.908042,PBB-F,
1,57_33_17_33_13,12.632385,PBB-F,
2,9_41_117_162_9,16.297091,PBCT-2F,
2,35_6_86_6_15,16.195085,PBCT-2F,
2,35_6_86_6_35,16.009932,PBCT-2F,
2,9_41_104_162_15,15.867437,PBCT-2F,
2,36_126_117_94_36,15.853300,PBCT-2F,
2,36_27_117_27_36,15.773109,PBCT-2F,
2,36_6_86_94_36,15.766183,PBCT-2F,
2,36_32_117_94_36,15.499738,PBCT-2F,
2,62_103_113_103_6,15.265500,PBCT-2F,
2,38_32_117_94_53,15.232418,PBCT-2F,
2,15_6_92_6_58,15.084824,PBCT-2F,
2,35_91_127_91_35,14.998364,PBB-F,
2,42_27_78_27_3,14.958288,PBCT-2F,
2,15_6_92_133_58,14.839217,PBCT-2F,
2,58_32_92_94_15,14.635905,PBCT-2F,
2,5_21_114_21_42,14.386668,PBCT-2F,
2,38_26_37_133_53,14.290770,PBCT-2F,
2,53_133_37_26_38,14.195071,PBCT-2F,
2,60_164_29_164_60,14.166178,PBB-F,
2,33_148_29_38_33,14.104761,PBB-F,
2,33_116_29_161_58,13.947136,PBB-F,
2,23_103_37_26_6,13.937510,PBCT-2F,
2,9_63_19_63_9,13.789363,PBB-F,
2,10_126_19_14_10,13.773730,PBB-F,
2,10_126_19_126_10,13.763468,PBB-F,
2,59_38_101_148_59,13.756605,PBB-F,
2,64_159_36_159_64,13.731239,PBB-F,
2,56_139_79_102_56,13.722650,PBB-F,
2,60_164_29_164_24,13.648493,PBB-F,
2,35_91_80_91_35,13.434545,PBB-F,
2,9_107_19_107_9,13.383895,PBB-F,
2,56_94_16_32_56,13.241171,PBB-F,
3,25_27_86_27_25,16.560999,PBCT-2F,
3,9_41_117_162_9,16.297091,PBCT-2F,
3,35_6_86_6_15,16.195085,PBCT-2F,
3,36_6_86_6_36,16.181615,PBCT-2F,
3,35_6_86_6_35,16.009932,PBCT-2F,
3,5_6_86_6_4,16.005629,PBCT-2F,
3,15_41_104_159_9,15.961581,PBCT-2F,
3,15_94_104_126_9,15.948041,PBCT-2F,
3,9_41_104_162_15,15.867437,PBCT-2F,
3,36_94_117_126_36,15.864445,PBCT-2F,
3,36_126_117_94_36,15.853300,PBCT-2F,
3,58_32_117_143_27,15.841213,PBCT-2F,
3,36_27_117_27_36,15.773109,PBCT-2F,
3,36_6_86_94_36,15.766183,PBCT-2F,
3,36_27_104_126_36,15.737711,PBCT-2F,
3,36_32_117_94_36,15.499738,PBCT-2F,
3,38_6_117_94_53,15.296237,PBCT-2F,
3,62_103_113_103_6,15.265500,PBCT-2F,
3,38_32_117_94_53,15.232418,PBCT-2F,
3,64_21_114_21_58,15.193648,PBCT-2F,
3,36_94_117_94_36,15.123786,PBCT-2F,
3,15_6_92_6_58,15.084824,PBCT-2F,
3,35_91_127_91_35,14.998364,PBB-F,
3,42_27_78_27_3,14.958288,PBCT-2F,
3,15_6_92_133_58,14.839217,PBCT-2F,
3,36_27_78_111_52,14.793408,D18,
3,58_32_92_94_15,14.635905,PBCT-2F,
3,62_103_113_165_59,14.607293,PBCT-2F,
3,3_27_92_27_42,14.497095,D18,
3,42_21_114_21_5,14.388886,PBCT-2F,
3,5_21_114_21_42,14.386668,PBCT-2F,
3,53_94_113_94_1,14.344442,PBB-F,
4,65_41_86_162_65,16.663389,PBCT-2F,
4,25_27_86_27_25,16.560999,PBCT-2F,
4,9_41_86_159_9,16.519885,PBCT-2F,
4,15_89_86_162_9,16.305678,PBCT-2F,
4,9_41_117_162_9,16.297091,PBCT-2F,
4,9_41_86_162_15,16.288553,PBCT-2F,
4,36_6_86_6_4,16.253414,PBCT-2F,
4,38_6_86_6_38,16.235078,PBCT-2F,
4,9_162_86_162_15,16.229331,PBCT-2F,
4,35_6_86_6_15,16.195085,PBCT-2F,
4,36_6_86_6_36,16.181615,PBCT-2F,
4,36_6_117_143_27,16.081247,PBCT-2F,
4,35_6_86_6_35,16.009932,PBCT-2F,
4,5_6_86_6_4,16.005629,PBCT-2F,
4,15_41_104_159_9,15.961581,PBCT-2F,
4,15_94_104_126_9,15.948041,PBCT-2F,
4,27_126_117_27_58,15.920955,PBCT-2F,
4,9_41_104_162_15,15.867437,PBCT-2F,
4,36_94_117_126_36,15.864445,PBCT-2F,
4,35_6_86_14_35,15.855861,PBCT-2F,
