index,smiles,filename_or_index
0,c1cc2C(CC)(CC)c3c(-c2cc1)ccc(c3),100_C
1,c1cc2C(=O)NC(=O)c3cc(cc(c1)c23),101_C
2,c1c(F)c(F)c(c2nc(c3cc(c(OCC)c(c3)F)F)c(nc12)c1cc(F)c(OCC)c(F)c1),103_C
3,c1cc2n(CC)c3c(c2cc1)ccc(c3),105_C
4,c1c(C#N)c(C#N)c(c2c1nsn2),112_C
5,c1cc2c(CC)c3c(c(CC)c2s1)cc(s3),115_C
6,c1sc2c3c(n(CC)c2c1)cc(s3),118_C
7,C1=C2C(C(=O)N1CC)=C(N(CC)C2=O),119_C
8,c1cc2[Si](CC)(CC)c3c(-c2cc1)ccc(c3),120_C
9,c1cc(CC)c(cc1CC),121_C
10,c1cc2c(OCC)c3c(c(OCC)c2s1)cc(s3),122_C
11,c1cnc(s1),123_C
12,c1c(F)cc(c(F)c1),124_C
13,c1c(F)c(F)c(s1),125_C
14,c1c(CC)c2c(s1)cc(s2),126_C
15,c1cc2C(=O)c3c(-c2cc1)ccc(c3),128_C
16,c1ccc(o1),130_C
17,c1sc2-c3c([Ge](CC)(CC)c2c1)cc(s3),131_C
18,c1sc2-c3c(OC(c4ccc(CC)cc4)(c4ccc(CC)cc4)c2c1)cc(s3),134_C
19,c1cc(F)c(c2c1nsn2),137_C
20,c1sc2cc3cc(sc3cc2c1),138_C
21,c1ccc([se]1),139_C
22,c1c2c(nsn2)c(c2cc(C(=O)OCC)sc12),13_C
23,c1cc2c(c3ccc([Si](CC)(CC)CC)s3)c3c(c(c4ccc([Si](CC)(CC)CC)s4)c2s1)cc(s3),144_C
24,c1cc(OCC)c(s1),147_C
25,c1c(OCC)c(OCC)c(s1),148_C
26,c1c(F)c(F)c(c2c1non2),156_C
27,c1c(c2c(cc(CC)cc2CC)CC)cc(s1),15_C
28,c1c(N(c2ccc(C)cc2)c2ccc(C)cc2)c2sc(c(N(c3ccc(C)cc3)c3ccc(C)cc3)c2s1),164_C
29,c1ccc(cc1),165_C
30,c1c2nn(CC)nc2c(c(c1)F),168_C
31,c1cc(C(=O)OCC)c(s1),16_C
32,c1cc(OCC)c(cc1F),178_C
33,c1c2nn(CC)nc2c(c(c1F)F),17_C
34,c1c(N(c2ccccc2)c2ccccc2)c2sc(c(N(c3ccccc3)c3ccccc3)c2s1),180_C
35,c1c(OC)c(F)c(c(OC)c1F),182_C
36,c1sc2c3c(oc(=O)c2c1)cc(s3),183_C
37,c1cc(OC)c(s1),185_C
38,c1cc(Cl)c(s1),187_C
39,c1cc(c2ccccc2)c(s1),18_C
40,c1c2nc(c3ccc(OCC)c(c3)OCC)c(c3ccc(OCC)c(OCC)c3)nc2c(c(c1F)F),196_C
41,c1c(F)c(F)c(c(F)c1F),197_C
42,c1cc2c(c3ccc(C=Cc4ccc(CC)s4)s3)c3c(c(c4ccc(C=Cc5ccc(CC)s5)s4)c2s1)cc(s3),198_C
43,c1c(F)cc(cc1),199_C
44,c1cc(c2c(cc(C)cc2C)C)c(s1),19_C
45,c1cc(C(=O)OC)c(s1),200_C
46,c1c(c2ccc(CC)s2)cc(s1),201_C
47,c1cc2c(c3ccc(C=Cc4ccc(SCC)s4)s3)c3c(c(c4ccc(C=Cc5ccc(SCC)s5)s4)c2s1)cc(s3),202_C
48,c1cc2c(c3cc(Cl)c(SCC)s3)c3c(c(c4sc(SCC)c(c4)Cl)c2s1)cc(s3),204_C
49,c1cc(CC)c([se]1),205_C
50,c1cc(SCC)c(s1),207_C
51,c1cc2c(c3cc(CC)c(CC)s3)c3c(c(c4cc(CC)c(s4)CC)c2s1)cc(s3),20_C
52,c1sc(c2c1OCCO2),214_C
53,c1sc(c2c1OCCCO2),221_C
54,c1cc2c(c3ccc(CC)cc3)c3c(c(c4ccc(CC)cc4)c2s1)cc(s3),224_C
55,c1cc2c(c3cc(F)c(SCC)s3)c3c(c(c4sc(SCC)c(c4)F)c2s1)cc(s3),244_C
56,c1cc2c(c3sc(CC)c(Cl)c3Cl)c3c(c(c4ccc(CC)s4)c2s1)cc(s3),245_C
57,c1c2nn(CC)nc2c(c(c1Cl)Cl),247_C
58,c1cc2c(c3ccc(OCC)cc3)c3c(c(c4ccc(OCC)cc4)c2s1)cc(s3),248_C
59,c1cc2c(c3sc(CC)c(F)c3F)c3c(c(c4sc(CC)c(c4F)F)c2s1)cc(s3),249_C
60,c1nnc(c2C(=O)N(CC)C(=O)c12),250_C
61,c1cc2c(c3sc(CC)c(Cl)c3Cl)c3c(c(c4sc(CC)c(c4Cl)Cl)c2s1)cc(s3),252_C
62,c1cc2c(c3cc(Cl)c(CC)s3)c3c(c(c4ccc(CC)s4)c2s1)cc(s3),255_C
63,c1cc(C(=O)CC)c(s1),256_C
64,c1cc2c(c3cc(F)c(CC)s3)c3c(c(c4sc(CCC)c(c4)F)c2s1)cc(s3),257_C
65,c1cc2c(c3cc(F)c(OCC)c(F)c3)c3c(c(c4cc(c(OCC)c(c4)F)F)c2s1)cc(s3),258_C
66,c1cc(C(=O)O)c(s1),261_C
67,c1sc2cc(sc2c1),262_C
68,c1cc2c(c3cc(Cl)c([Si](CC)(CC)CC)s3)c3c(c(c4sc([Si](CC)(CC)CC)c(c4)Cl)c2s1)cc(s3),263_C
69,c1nc2c(c3ccc(CC)s3)c3c(c(c4ccc(CC)s4)c2s1)nc(s3),264_C
70,c1c(SCC)c(SCC)c(c2c1C(=O)c1c(C2=O)csc1),267_C
71,c1cc2c(c3cccc(SCC)c3)c3c(c(c4cccc(SCC)c4)c2s1)cc(s3),270_C
72,c1cc2c(c3cc(OCC)c(Cl)s3)c3c(c(c4cc(OCC)c(s4)Cl)c2s1)cc(s3),271_C
73,c1cc2c(c3cc(CC)c(Cl)s3)c3c(c(c4cc(CC)c(s4)Cl)c2s1)cc(s3),273_C
74,c1ccc2C(C(=O)N(C)c2c1)=C1C(=O)N(C)c2cc(ccc12),277_C
75,c1cc2c(c3cc4sc(CC)cc4s3)c3c(c(c4sc5cc(CC)sc5c4)c2s1)cc(s3),278_C
76,C1=C2C(C(=O)N1C)=C(N(C)C2=O),279_C
77,c1c2C(=O)N(C)C(=O)c2c(s1),280_C
78,c1ccc(c2C(=Cc3ccsc3)C(=O)N(CC)c12),281_C
79,c1sc(c2sc(C(=O)OCC)c(c12)Cl),282_C
80,c1sc(c2sc(c3c(cc(C(=O)OCC)s3)Cl)c(c12)Cl),283_C
81,c1cc2c(c3cccc(OCC)c3)c3c(c(c4cccc(OCC)c4)c2s1)cc(s3),284_C
82,c1c(F)c(F)c(c2nc(c3ccc(OCC)c(c3)F)c(nc12)c1ccc(OCC)c(F)c1),285_C
83,c1ccc(c2nc(c3cccc(OCC)c3)c(nc12)c1cccc(OCC)c1),286_C
84,c1cc2c(c3cc4sc([Si](CC)(CC)CC)cc4s3)c3c(c(c4sc5cc([Si](CC)(CC)CC)sc5c4)c2s1)cc(s3),287_C
85,c1cc2c(c3ccc4cc(OCC)ccc4c3)c3c(c(c4cc5ccc(OCC)cc5cc4)c2s1)cc(s3),288_C
86,c1cc2c(c3ccc(OCC)c(C(F)(F)F)c3)c3c(c(c4ccc(OCC)c(c4)C(F)(F)F)c2s1)cc(s3),289_C
87,c1sc(c2sc(c3ccc(C(=O)OCC)s3)c(c12)Cl),290_C
88,c1c(F)c(F)c(c2nc(c3cccc(OCC)c3)c(nc12)c1cccc(OCC)c1),291_C
89,c1nnc(s1),293_C
90,c1cc2c(c3ccc4ccccc4c3)c3c(c(OCC)c2s1)cc(s3),294_C
91,c1cc2c(c3ccc4cc(SCC)ccc4c3)c3c(c(c4cc5ccc(SCC)cc5cc4)c2s1)cc(s3),295_C
92,c1cc2c(c3ccc(CC)[se]3)c3c(c(c4ccc(CC)[se]4)c2s1)cc(s3),296_C
93,c1cc2c(c3ccc4ccccc4c3)c3c(c(c4ccc(SCC)s4)c2s1)cc(s3),298_C
94,c1c(F)c(F)c(c2nc(c3sc(CC)c(c3)F)c(nc12)c1cc(F)c(CC)s1),299_C
95,c1ccc(c(F)c1F),300_C
96,c1cc2c(c3cc(OCC)cc(OCC)c3)c3c(c(c4cc(cc(OCC)c4)OCC)c2s1)cc(s3),301_C
97,c1c(CC)nc(s1),302_C
98,c1cc2c(c3ccc([Si](CC)(CC)CC)s3)c3c(c(c4ccc([Si](CC)(CC)CC)s4)c2o1)cc(o3),303_C
99,c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3),304_C
100,c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3),305_C
101,c1cc2c(c3cc4cc(CC)ccc4s3)c3c(c(c4sc5ccc(CC)cc5c4)c2s1)cc(s3),311_C
102,c1c2cc(C(=O)OCC)sc2c(c2c1nn(CC)n2),316_C
103,c1cc(c2cc(cc(OCC)c2)OCC)c(s1),318_C
104,c1cc2c(c3ccc(CC)cc3)c3c(c(c4ccc(CC)cc4)c2o1)cc(o3),324_C
105,c1cc2c(c3cc(F)c(CC)c(F)c3)c3c(c(c4cc(c(CC)c(c4)F)F)c2o1)cc(o3),325_C
106,c1c(C(=O)OCC)c2c(s1)c(C(=O)OCC)c(s2),326_C
107,c1cc2c(c3cc(F)c(CC)s3)c3c(c(c4sc(CC)c(c4)F)c2o1)cc(o3),327_C
108,c1cc2c(c3cc(Cl)c(CC)s3)c3c(c(c4sc(CC)c(c4)Cl)c2o1)cc(o3),328_C
109,c1sc(c2cc(CC)sc12),32_C
110,c1c2c(non2)c(c(OCC)c1OCC),330_C
111,c1cnc(cn1),339_C
112,c1sc(c2cc(C(=O)OCC)sc12),33_C
113,c1[se]c(c2cc(CC)sc12),341_C
114,c1sc(c2cc(CC)[se]c12),342_C
115,c1c(CC)c2c(s1)-c1c(C2(CC)CC)cc(s1),345_C
116,c1ccc(nn1),346_C
117,c1cc(c2c(OCC)cccc2OCC)c(s1),349_C
118,c1sc2-c3c(C(CC)(CC)c2c1)cc(s3),34_C
119,c1c(OCC)c(OCC)c(cc1),351_C
120,c1ccc(cn1),354_C
121,c1sc2-c3c(OC(CC)(CC)c2c1)cc(s3),355_C
122,c1sc2-c3c(C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c2c1)ccc(c3),356_C
123,c1ccc(c2C(=O)N(CC)C(=O)c12),357_C
124,c1cc(c2ccc(CC)cc2)c(s1),359_C
125,c1c(OCC)c(OCC)c(c2c1nsn2),35_C
126,c1c(OCC)c(OCC)c(c2c1nccn2),363_C
127,c1c(F)c(F)c(c2nc(CC)c(nc12)CC),364_C
128,c1ccc(c2nc(c3ccccc3)c(nc12)c1ccccc1),365_C
129,c1ccc(c2nccnc12),366_C
130,c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1),367_C
131,c1cc2C3(c4ccc(OCC)cc4-c4cc(OCC)ccc34)c3c(-c2cc1)ccc(c3),369_C
132,c1c2ncc(OCC)nc2c(c(c1F)F),36_C
133,c1c2c(N=S=N2)c(c2nsnc12),371_C
134,c1ccc(c2nc(c3ccc(CC)cc3)c(nc12)c1ccc(CC)cc1),380_C
135,c1c2nc(CC)sc2c(c2c1sc(CC)n2),381_C
136,c1c(F)c(F)c(c2nc(c3sc(CC)c(c3F)F)c(nc12)c1sc(CC)c(F)c1F),385_C
137,c1c2ncc(OCC)nc2c(cc1),388_C
138,c1c2nc(c3c(c(c(OCC)c(c3F)F)F)F)c(c3c(F)c(F)c(OCC)c(F)c3F)nc2c(cc1),389_C
139,c1c(F)cc(c2ncc(OCC)nc12),390_C
140,c1c2nc(c3c(c(c(OCC)c(c3F)F)F)F)c(c3c(F)c(F)c(OCC)c(F)c3F)nc2c(c(c1F)F),391_C
