gen,filename,PCE,acceptor
1,860_6_110100,17.794321,39_28_86_28_39,
1,596_114_111000,17.569793,39_28_86_28_39,
1,959_814_111111,17.517926,39_28_86_15_39,
1,1194_17_001111,17.468333,39_28_86_28_39,
1,22_145_110001,17.462338,39_28_86_28_39,
1,905_1061_111011,17.407841,39_28_86_28_39,
1,410_161_101111,17.351641,39_126_39,
1,846_360_001100,17.346005,39_28_86_28_39,
1,1067_59_011100,17.331711,39_28_86_29_39,
1,674_578_101110,17.311589,39_28_86_28_39,
1,1091_585_111001,17.230540,39_28_86_28_39,
1,345_390_011001,17.133550,39_28_86_28_39,
1,413_631_111001,17.090993,39_126_39,
1,453_82_010000,17.090596,39_28_86_28_39,
1,346_1190_010000,17.090363,39_126_39,
1,121_1166_101010,17.042815,39_29_86_28_39,
1,349_464_000111,16.880284,39_28_86_28_39,
1,585_915_010101,16.787413,39_28_86_28_39,
1,212_1021_110000,16.757943,39_28_86_15_39,
1,1191_174_011010,16.665656,39_28_86_28_39,
1,753_336_101100,16.564745,39_126_39,
1,202_230_000111,16.539892,39_28_86_28_39,
1,268_627_100111,16.352254,39_28_86_15_39,
1,728_202_101000,16.340541,39_28_86_28_39,
1,272_77_001001,16.281735,39_28_86_28_39,
1,517_1116_010001,16.232680,39_28_86_28_39,
1,376_865_011110,16.005192,39_28_86_28_39,
1,861_662_111111,15.995195,39_28_86_28_39,
1,1112_1139_011110,15.804537,39_28_86_15_39,
1,816_556_111001,15.594376,39_28_86_28_39,
1,537_706_010100,15.393714,39_28_86_28_39,
1,908_482_111010,0.000000,bad file,
2,905_6_111011,17.799924,39_28_86_28_39,
2,860_6_110100,17.794321,39_28_86_28_39,
2,674_17_101110,17.739922,39_28_86_28_39,
2,860_161_110100,17.691542,39_126_39,
2,959_703_111011,17.618175,39_28_86_28_39,
2,596_114_111000,17.569793,39_28_86_28_39,
2,596_17_111000,17.556016,39_28_86_28_39,
2,959_814_111111,17.517926,39_28_86_15_39,
2,22_814_111111,17.511877,39_28_86_15_39,
2,22_145_001100,17.500642,39_28_86_28_39,
2,1194_17_001111,17.468333,39_28_86_28_39,
2,22_145_110001,17.462338,39_28_86_28_39,
2,121_161_101111,17.409847,39_126_39,
2,905_1061_111011,17.407841,39_28_86_28_39,
2,410_161_101111,17.351641,39_126_39,
2,846_360_001100,17.346005,39_28_86_28_39,
2,927_82_010000,17.344491,39_28_86_28_39,
2,1067_59_011100,17.331711,39_28_86_29_39,
2,674_578_101110,17.311589,39_28_86_28_39,
2,1091_585_111001,17.230540,39_28_86_28_39,
2,345_390_011001,17.133550,39_28_86_28_39,
2,1067_6_011100,17.123072,39_28_86_28_39,
2,959_1061_111111,17.118175,39_28_86_15_39,
2,413_631_111001,17.090993,39_126_39,
2,453_82_010000,17.090596,39_28_86_28_39,
2,346_1190_010000,17.090363,39_126_39,
2,121_1166_101010,17.042815,39_29_86_28_39,
2,410_1166_001110,16.950062,39_126_39,
2,674_114_111111,16.800436,39_28_86_28_39,
2,846_814_001100,16.582394,39_3_86_28_39,
2,959_814_010001,16.558926,39_15_86_28_39,
2,1067_578_011100,16.351900,39_28_86_28_39,
3,959_61_110100,17.996225,39_50_86_28_39,
3,905_6_111011,17.799924,39_28_86_28_39,
3,860_6_110100,17.794321,39_28_86_28_39,
3,674_17_101110,17.739922,39_28_86_28_39,
3,860_161_110100,17.691542,39_126_39,
3,121_161_111011,17.638871,39_126_39,
3,959_703_111011,17.618175,39_28_86_28_39,
3,905_6_110011,17.608410,39_28_86_28_39,
3,596_114_111000,17.569793,39_28_86_28_39,
3,596_17_111000,17.556016,39_28_86_28_39,
3,22_161_111011,17.548010,39_126_39,
3,905_814_111111,17.518424,39_28_86_15_39,
3,959_814_111111,17.517926,39_28_86_15_39,
3,22_814_111111,17.511877,39_28_86_15_39,
3,22_145_001100,17.500642,39_28_86_28_39,
3,121_145_101111,17.491024,39_28_86_28_39,
3,1194_17_001111,17.468333,39_28_86_28_39,
3,22_145_110001,17.462338,39_28_86_28_39,
3,959_145_111011,17.460401,39_28_86_28_39,
3,1194_17_110011,17.426906,39_28_86_28_39,
3,121_161_101111,17.409847,39_126_39,
3,905_1061_111011,17.407841,39_28_86_28_39,
3,410_161_101111,17.351641,39_126_39,
3,846_360_001100,17.346005,39_28_86_28_39,
3,22_145_100010,17.198937,39_28_86_15_39,
3,121_161_110100,17.129827,39_28_86_28_39,
3,409_814_111011,17.111533,39_28_86_15_39,
3,22_161_100110,17.090885,39_126_39,
3,846_17_001100,17.062494,39_28_86_28_39,
3,846_114_001100,16.961632,39_28_86_28_39,
3,410_17_110100,16.833749,39_28_86_28_39,
3,959_703_110100,16.780533,39_28_86_28_39,
4,121_61_101111,19.228431,39_126_39,
4,959_61_110100,17.996225,39_50_86_28_39,
4,112_6_110011,17.903275,39_28_86_28_39,
4,1194_6_110011,17.838735,39_28_86_28_39,
4,905_6_111011,17.799924,39_28_86_28_39,
4,860_6_110100,17.794321,39_28_86_28_39,
4,674_17_101110,17.739922,39_28_86_28_39,
4,860_161_110100,17.691542,39_126_39,
4,121_161_111011,17.638871,39_126_39,
4,210_6_101110,17.633817,39_28_86_28_39,
4,959_703_111011,17.618175,39_28_86_28_39,
4,905_6_110011,17.608410,39_28_86_28_39,
4,959_145_111111,17.588289,39_28_86_28_39,
4,860_161_111011,17.578557,39_126_39,
4,596_114_111000,17.569793,39_28_86_28_39,
4,905_6_010101,17.565356,39_28_86_28_39,
4,596_17_111000,17.556016,39_28_86_28_39,
4,22_161_111011,17.548010,39_126_39,
4,38_814_111111,17.522993,39_28_86_15_39,
4,121_814_111111,17.522420,39_28_86_15_39,
4,905_6_111000,17.519469,39_28_86_28_39,
4,905_814_111111,17.518424,39_28_86_15_39,
4,959_814_111111,17.517926,39_28_86_15_39,
4,22_814_111111,17.511877,39_28_86_15_39,
4,22_145_001100,17.500642,39_28_86_28_39,
4,121_145_101111,17.491024,39_28_86_28_39,
4,121_145_111011,17.435497,39_28_86_28_39,
4,596_114_110001,17.297100,39_126_39,
4,22_814_101100,17.003489,39_28_86_15_39,
4,860_145_010011,16.956537,39_28_86_28_39,
4,959_814_110100,16.782562,39_28_86_15_39,
4,22_776_111111,16.648614,39_28_86_28_39,
5,121_61_101111,19.228431,39_126_39,
5,121_61_110011,18.631152,39_126_39,
5,905_61_110100,18.122055,39_126_39,
5,959_61_110001,17.996637,39_126_39,
5,959_61_110100,17.996225,39_50_86_28_39,
5,1208_6_111111,17.986159,39_28_86_28_39,
5,1194_6_101110,17.955518,39_28_86_28_39,
5,112_6_110011,17.903275,39_28_86_28_39,
5,1194_6_011110,17.893525,39_28_86_28_39,
5,874_6_111011,17.868035,39_28_86_28_39,
5,1194_6_110011,17.838735,39_28_86_28_39,
5,905_6_111011,17.799924,39_28_86_28_39,
5,860_6_110100,17.794321,39_28_86_28_39,
5,860_6_101110,17.789833,39_28_86_28_39,
5,674_17_101110,17.739922,39_28_86_28_39,
5,988_6_110011,17.725543,39_28_86_28_39,
5,860_161_110100,17.691542,39_126_39,
5,121_161_111011,17.638871,39_126_39,
5,210_6_101110,17.633817,39_28_86_28_39,
5,905_6_110100,17.623068,39_28_86_28_39,
5,959_703_111011,17.618175,39_28_86_28_39,
5,905_6_110011,17.608410,39_28_86_28_39,
5,959_145_111111,17.588289,39_28_86_28_39,
5,860_161_111011,17.578557,39_126_39,
5,596_114_111000,17.569793,39_28_86_28_39,
5,905_6_010101,17.565356,39_28_86_28_39,
5,210_6_100110,17.491945,39_28_86_28_39,
5,121_6_010101,17.486687,39_28_86_28_39,
5,112_131_110011,17.413048,39_3_86_28_39,
5,959_6_110100,17.138714,39_28_86_28_39,
5,596_114_111011,17.040685,39_28_86_28_39,
5,959_460_111011,16.612110,39_28_86_28_39,
6,121_61_101111,19.228431,39_126_39,
6,121_61_110011,18.631152,39_126_39,
6,959_61_110011,18.625415,39_28_86_28_39,
6,674_6_110100,18.290472,39_28_86_28_39,
6,905_61_110100,18.122055,39_126_39,
6,674_6_101110,18.087405,39_28_86_28_39,
6,959_61_010001,18.055729,39_3_86_28_39,
6,988_6_100111,18.050051,39_28_86_28_39,
6,49_6_111011,17.999430,39_28_86_28_39,
6,959_61_110001,17.996637,39_126_39,
6,959_61_110100,17.996225,39_50_86_28_39,
6,1019_6_111111,17.986159,39_28_86_28_39,
6,1208_6_111111,17.986159,39_28_86_28_39,
6,1194_6_111111,17.986159,39_28_86_28_39,
6,1194_6_101110,17.955518,39_28_86_28_39,
6,112_6_110011,17.903275,39_28_86_28_39,
6,1194_6_011110,17.893525,39_28_86_28_39,
6,653_6_111011,17.883779,39_28_86_28_39,
6,874_6_111011,17.868035,39_28_86_28_39,
6,121_6_111011,17.858826,39_28_86_28_39,
6,1194_6_110011,17.838735,39_28_86_28_39,
6,905_6_111011,17.799924,39_28_86_28_39,
6,860_6_110100,17.794321,39_28_86_28_39,
6,860_6_101110,17.789833,39_28_86_28_39,
6,674_17_101110,17.739922,39_28_86_28_39,
6,988_6_110011,17.725543,39_28_86_28_39,
6,121_6_101111,17.724251,39_28_86_28_39,
6,112_6_111101,17.696673,39_28_86_28_39,
6,860_6_000101,17.624602,39_28_86_28_39,
6,905_6_010101,17.565356,39_28_86_28_39,
6,860_17_110100,17.268548,39_28_86_28_39,
6,959_20_110100,16.757676,39_3_86_28_39,
7,121_61_101111,19.228431,39_126_39,
7,121_61_110011,18.631152,39_126_39,
7,959_61_110011,18.625415,39_28_86_28_39,
7,1208_61_110001,18.399182,39_126_39,
7,674_6_110100,18.290472,39_28_86_28_39,
7,905_61_110001,18.191478,39_126_39,
7,905_61_110100,18.122055,39_126_39,
7,674_6_101110,18.087405,39_28_86_28_39,
7,121_61_010001,18.083740,39_28_86_28_39,
7,959_61_010001,18.055729,39_3_86_28_39,
7,988_6_100111,18.050051,39_28_86_28_39,
7,49_6_111011,17.999430,39_28_86_28_39,
