gen,pair,combined_abs,overlap,score
1,"[984, 547]",431.2732709151699,150.66847477893694,280.60479613623295
1,"[50, 881]",441.3035437629939,168.14489410950083,273.15864965349306
1,"[896, 854]",368.8471613028453,103.20123755735514,265.6459237454901
1,"[423, 689]",384.23144657091825,130.93156855997006,253.2998780109482
1,"[216, 824]",441.23497194248995,188.1858894415519,253.04908250093806
1,"[933, 164]",369.3642380509379,120.84708115590401,248.5171568950339
1,"[876, 142]",411.63303043716746,165.42604636317284,246.20698407399462
1,"[213, 916]",383.0460420759875,138.1485346542002,244.89750742178728
1,"[778, 202]",454.2447346998676,210.03078107284807,244.21395362701952
1,"[456, 215]",445.85033344431116,209.8342283935981,236.01610505071307
1,"[168, 974]",358.4378608271463,122.50182360164403,235.93603722550228
1,"[204, 291]",378.5731209945289,144.0515433970515,234.5215775974774
1,"[630, 929]",365.3087458803536,130.80140975384384,234.50733612650978
1,"[919, 824]",391.41685277975796,157.34849879004082,234.06835398971714
1,"[917, 594]",366.8088607499736,134.23870224636642,232.57015850360716
1,"[846, 526]",355.47912452212375,124.41264015765358,231.06648436447017
1,"[806, 930]",314.712932176841,86.8820404344924,227.83089174234857
1,"[616, 217]",368.2450466505799,141.05425825214053,227.1907883984394
1,"[216, 417]",455.6776900137794,231.16235087231271,224.51533914146668
1,"[611, 612]",350.81568020304604,128.1763932886076,222.63928691443843
1,"[540, 443]",403.7919008479386,181.63798826246483,222.1539125854738
1,"[300, 218]",399.57606648803096,177.95427424059878,221.62179224743218
1,"[805, 555]",464.668514900065,249.36467865177758,215.30383624828744
1,"[164, 87]",418.4536905559418,203.87212835571248,214.58156220022934
1,"[989, 405]",351.36865469978426,137.47617882934753,213.89247587043673
1,"[946, 955]",337.50381994359714,126.25597671519265,211.2478432284045
1,"[952, 292]",358.45850587701096,150.71894026153873,207.73956561547223
1,"[112, 933]",343.39970673237497,136.66864157726866,206.7310651551063
1,"[170, 712]",388.32476450775545,181.67257297404194,206.6521915337135
1,"[50, 414]",418.2111331963659,212.41285672285733,205.79827647350857
1,"[42, 638]",318.00400659462355,114.53233843334297,203.47166816128058
1,"[483, 233]",408.7997959254346,207.75910650214837,201.0406894232862
2,"[984, 881]",505.42021976248935,169.15811732378234,336.262102438707
2,"[456, 881]",450.99981373420843,160.82905132486857,290.1707624093399
2,"[984, 547]",431.2732709151699,150.66847477893694,280.60479613623295
2,"[50, 881]",441.3035437629939,168.14489410950083,273.15864965349306
2,"[896, 854]",368.8471613028453,103.20123755735514,265.6459237454901
2,"[423, 202]",447.841021320481,185.29255340130217,262.54846791917885
2,"[102, 916]",386.500976409696,130.08471852140775,256.41625788828827
2,"[423, 689]",384.23144657091825,130.93156855997006,253.2998780109482
2,"[216, 824]",441.23497194248995,188.1858894415519,253.04908250093806
2,"[423, 929]",369.5900879361407,117.18958140977196,252.40050652636876
2,"[423, 526]",401.5235390053795,152.25155061241725,249.27198839296227
2,"[933, 164]",369.3642380509379,120.84708115590401,248.5171568950339
2,"[216, 291]",439.66377304638365,191.6779968746138,247.98577617176986
2,"[876, 142]",411.63303043716746,165.42604636317284,246.20698407399462
2,"[213, 916]",383.0460420759875,138.1485346542002,244.89750742178728
2,"[778, 202]",454.2447346998676,210.03078107284807,244.21395362701952
2,"[933, 142]",376.318906961542,137.42948896811387,238.8894179934281
2,"[50, 824]",404.0296463101375,166.01870013925884,238.01094617087864
2,"[456, 215]",445.85033344431116,209.8342283935981,236.01610505071307
2,"[168, 974]",358.4378608271463,122.50182360164403,235.93603722550228
2,"[778, 824]",402.67577324231473,167.98546236926984,234.6903108730449
2,"[204, 291]",378.5731209945289,144.0515433970515,234.5215775974774
2,"[630, 929]",365.3087458803536,130.80140975384384,234.50733612650978
2,"[919, 824]",391.41685277975796,157.34849879004082,234.06835398971714
2,"[917, 594]",366.8088607499736,134.23870224636642,232.57015850360716
2,"[846, 526]",355.47912452212375,124.41264015765358,231.06648436447017
2,"[168, 395]",359.59256044207456,128.65978883975754,230.93277160231702
2,"[846, 594]",352.51534835800356,122.57012952459358,229.94521883340997
2,"[876, 215]",422.94656955992747,202.25373472398897,220.6928348359385
2,"[917, 689]",352.4805444796326,135.80360225194863,216.67694222768398
2,"[64, 824]",411.10292619793057,202.26700486290076,208.8359213350298
2,"[630, 547]",355.1176664126782,146.88794264175277,208.22972377092543
3,"[984, 881]",505.42021976248935,169.15811732378234,336.262102438707
3,"[456, 881]",450.99981373420843,160.82905132486857,290.1707624093399
3,"[984, 202]",519.7152837671856,233.28534401766632,286.4299397495193
3,"[423, 881]",433.5459573157845,150.0884625052808,283.4574948105037
3,"[984, 547]",431.2732709151699,150.66847477893694,280.60479613623295
3,"[50, 881]",441.3035437629939,168.14489410950083,273.15864965349306
3,"[896, 854]",368.8471613028453,103.20123755735514,265.6459237454901
3,"[456, 202]",465.29487773890486,199.78625816416564,265.5086195747392
3,"[456, 526]",418.9773954238034,155.68100362233596,263.2963918014674
3,"[423, 202]",447.841021320481,185.29255340130217,262.54846791917885
3,"[102, 916]",386.500976409696,130.08471852140775,256.41625788828827
3,"[423, 854]",366.12949134958575,111.84526063706396,254.28423071252178
3,"[213, 202]",474.83445085185554,220.92842866211492,253.9060221897406
3,"[423, 689]",384.23144657091825,130.93156855997006,253.2998780109482
3,"[216, 824]",441.23497194248995,188.1858894415519,253.04908250093806
3,"[896, 916]",358.7702824978725,105.84753770840655,252.92274478946592
3,"[423, 929]",369.5900879361407,117.18958140977196,252.40050652636876
3,"[423, 824]",396.27205986292813,145.6701089733845,250.60195088954364
3,"[423, 526]",401.5235390053795,152.25155061241725,249.27198839296227
3,"[778, 164]",416.5319823719096,167.5223602849516,249.009622086958
3,"[933, 164]",369.3642380509379,120.84708115590401,248.5171568950339
3,"[216, 142]",462.04584998268905,213.9632594343406,248.08259054834843
3,"[216, 291]",439.66377304638365,191.6779968746138,247.98577617176986
3,"[876, 142]",411.63303043716746,165.42604636317284,246.20698407399462
3,"[213, 916]",383.0460420759875,138.1485346542002,244.89750742178728
3,"[778, 202]",454.2447346998676,210.03078107284807,244.21395362701952
3,"[623, 916]",358.8439012502311,119.38688811937871,239.4570131308524
3,"[933, 142]",376.318906961542,137.42948896811387,238.8894179934281
3,"[423, 916]",356.0526125446128,119.1061566321887,236.94645591242414
3,"[778, 916]",362.45632592399943,129.50217783941892,232.9541480845805
3,"[329, 526]",403.95830720345225,187.36799504819675,216.5903121552555
3,"[933, 848]",308.46940709486245,99.86198677433693,208.60742032052553
4,"[984, 881]",505.42021976248935,169.15811732378234,336.262102438707
4,"[213, 881]",460.53938684715916,166.0201425224044,294.51924432475477
4,"[456, 881]",450.99981373420843,160.82905132486857,290.1707624093399
4,"[984, 202]",519.7152837671856,233.28534401766632,286.4299397495193
4,"[896, 202]",450.5586912737406,164.5022147833022,286.0564764904384
4,"[423, 881]",433.5459573157845,150.0884625052808,283.4574948105037
4,"[456, 378]",446.30120193280334,162.99810824756062,283.30309368524274
4,"[984, 547]",431.2732709151699,150.66847477893694,280.60479613623295
4,"[158, 881]",413.1365904959508,139.64826396719258,273.48832652875825
4,"[50, 881]",441.3035437629939,168.14489410950083,273.15864965349306
4,"[896, 854]",368.8471613028453,103.20123755735514,265.6459237454901
4,"[456, 202]",465.29487773890486,199.78625816416564,265.5086195747392
4,"[984, 526]",473.3978014520843,208.93025589019925,264.46754556188506
4,"[456, 526]",418.9773954238034,155.68100362233596,263.2963918014674
4,"[423, 202]",447.841021320481,185.29255340130217,262.54846791917885
4,"[102, 916]",386.500976409696,130.08471852140775,256.41625788828827
4,"[423, 854]",366.12949134958575,111.84526063706396,254.28423071252178
4,"[213, 202]",474.83445085185554,220.92842866211492,253.9060221897406
4,"[423, 689]",384.23144657091825,130.93156855997006,253.2998780109482
4,"[936, 916]",377.35192709865,124.25899758970525,253.09292950894474
4,"[216, 824]",441.23497194248995,188.1858894415519,253.04908250093806
4,"[896, 916]",358.7702824978725,105.84753770840655,252.92274478946592
4,"[216, 854]",411.0924034291475,158.66893557228934,252.42346785685817
4,"[58, 202]",411.65605196468965,163.08110888758296,248.5749430771067
4,"[397, 202]",487.67163085216225,245.4662496347541,242.20538121740816
4,"[79, 202]",457.76146563994195,217.90323779398523,239.85822784595672
4,"[456, 554]",427.41822002962505,189.03639111704103,238.381828912584
4,"[213, 547]",386.39243799983996,148.22163739260955,238.1708006072304
4,"[423, 916]",356.0526125446128,119.1061566321887,236.94645591242414
4,"[216, 916]",401.01552462417465,166.73456309552765,234.280961528647
4,"[489, 916]",383.85759219712907,151.02836775901122,232.82922443811785
4,"[20, 202]",442.7977005980067,211.75443113939855,231.04326945860817
5,"[984, 881]",505.42021976248935,169.15811732378234,336.262102438707
5,"[102, 881]",463.9943211808677,163.75717399839792,300.2371471824698
