gen,pair,combined_abs,overlap,score
1,"[896, 854]",755.2160430190244,428.2397186227947,0.07971168002652046
1,"[984, 547]",883.146614088318,582.2177080123234,0.07177743599794623
1,"[423, 689]",786.7169687649146,518.1429484483452,0.008345934221929918
1,"[806, 930]",644.471377230514,358.74026842724174,0.0014067090137390992
1,"[50, 881]",903.8879995567015,667.6957160781781,-0.01030312053156679
1,"[630, 929]",748.369782637919,500.95373503289704,-0.027949075005786972
1,"[933, 164]",756.2799085177242,510.4868484181817,-0.02845626856132971
1,"[213, 916]",784.2410592700364,556.2702359889603,-0.0463845947896831
1,"[168, 974]",732.5758767339216,502.1843796947611,-0.0539931864947551
1,"[946, 955]",693.7507472319473,459.5551767506619,-0.05706060723267126
1,"[846, 526]",727.1817722471508,500.53604523214335,-0.06012612696508546
1,"[216, 824]",904.6960429687389,710.5126358336156,-0.06622138251109633
1,"[876, 142]",844.0221964983815,651.9877127909723,-0.08182125785853195
1,"[611, 612]",717.3537636103107,509.78726147004926,-0.0876617386547292
1,"[917, 594]",751.2918791512727,550.3685648245756,-0.08941034533609804
1,"[919, 824]",801.7383819840725,611.4990612574653,-0.09309016440224532
1,"[42, 638]",652.299947764733,443.22011819225753,-0.09929100723879924
1,"[616, 217]",753.8670206539266,566.4205927770463,-0.10686357667727031
1,"[112, 933]",702.5506443660591,508.19812934484276,-0.10841031784502914
1,"[204, 291]",774.9543100352197,594.5676440339514,-0.11186476544564766
1,"[989, 405]",720.1648082682573,551.7388787940696,-0.13933013304342828
1,"[778, 202]",931.005621451043,803.5669364588067,-0.14981470275591224
1,"[540, 443]",831.0789304364248,696.6958003671875,-0.1615097841434499
1,"[952, 292]",733.8653074317226,589.7385533650505,-0.16889830108091025
1,"[300, 218]",819.504883162261,689.984823684312,-0.17043117238114824
1,"[456, 215]",913.6315446059328,802.3323853200889,-0.17500873646557236
1,"[483, 233]",838.125826921575,742.5587652864192,-0.2118561409673978
1,"[170, 712]",795.6194309212124,695.051506553733,-0.21409809199705854
1,"[216, 417]",933.6807743645916,857.8607406611693,-0.21817161502949445
1,"[164, 87]",857.5814061149915,774.5973821718379,-0.224574056341931
1,"[50, 414]",856.4644529225451,821.0603008075078,-0.2883342956368948
1,"[805, 555]",953.0206593071366,987.1511536765018,-0.3609132147390117
2,"[984, 881]",1034.9451262403288,702.4087901285327,0.14582863035986227
2,"[896, 854]",755.2160430190244,428.2397186227947,0.07971168002652046
2,"[896, 547]",741.528338563742,417.92626156004235,0.07233458839693771
2,"[984, 547]",883.146614088318,582.2177080123234,0.07177743599794623
2,"[102, 916]",789.6010409962482,505.8852104936013,0.029167542524091594
2,"[423, 689]",786.7169687649146,518.1429484483452,0.008345934221929918
2,"[806, 930]",644.471377230514,358.74026842724174,0.0014067090137390992
2,"[806, 824]",736.9943659130479,469.33251042842204,-0.003304872134067216
2,"[50, 881]",903.8879995567015,667.6957160781781,-0.01030312053156679
2,"[933, 955]",633.9364073834756,367.03202282979396,-0.025940115127220414
2,"[630, 929]",748.369782637919,500.95373503289704,-0.027949075005786972
2,"[933, 164]",756.2799085177242,510.4868484181817,-0.02845626856132971
2,"[806, 974]",666.4974304704604,407.2172486617909,-0.029287461304191464
2,"[917, 930]",653.9941255372731,393.63695731482966,-0.030473010443055337
2,"[876, 854]",739.1803515876506,493.88952487844557,-0.032714698688113886
2,"[64, 881]",921.2525869582325,709.1745472895126,-0.03885556931709078
2,"[806, 142]",779.8319217090303,550.532038973899,-0.04553524961483568
2,"[213, 916]",784.2410592700364,556.2702359889603,-0.0463845947896831
2,"[168, 974]",732.5758767339216,502.1843796947611,-0.0539931864947551
2,"[946, 955]",693.7507472319473,459.5551767506619,-0.05706060723267126
2,"[846, 526]",727.1817722471508,500.53604523214335,-0.06012612696508546
2,"[630, 164]",831.5790308668496,622.4004871337735,-0.06154236637545396
2,"[216, 824]",904.6960429687389,710.5126358336156,-0.06622138251109633
2,"[876, 142]",844.0221964983815,651.9877127909723,-0.08182125785853195
2,"[611, 612]",717.3537636103107,509.78726147004926,-0.0876617386547292
2,"[946, 547]",712.524436715562,505.0629033449235,-0.08881518985557046
2,"[917, 594]",751.2918791512727,550.3685648245756,-0.08941034533609804
2,"[919, 824]",801.7383819840725,611.4990612574653,-0.09309016440224532
2,"[50, 824]",827.7814809747217,648.4278265488529,-0.10215963623013025
2,"[846, 395]",650.3943546668582,444.67771634614326,-0.10418118147746022
2,"[919, 594]",806.5131469155383,639.1757638869883,-0.12266564469168634
2,"[168, 612]",785.2584212282766,646.6003953153801,-0.16541638052304108
3,"[984, 881]",1034.9451262403288,702.4087901285327,0.14582863035986227
3,"[896, 881]",893.3268507157528,552.4606055887161,0.1272354938375474
3,"[896, 929]",761.8889019854453,408.0726244723752,0.11694694219035517
3,"[896, 854]",755.2160430190244,428.2397186227947,0.07971168002652046
3,"[896, 547]",741.528338563742,417.92626156004235,0.07233458839693771
3,"[984, 547]",883.146614088318,582.2177080123234,0.07177743599794623
3,"[933, 881]",804.5086090191012,500.9199326128801,0.0588285583383199
3,"[102, 916]",789.6010409962482,505.8852104936013,0.029167542524091594
3,"[630, 930]",711.1782241037129,430.4221324568368,0.008760974491410278
3,"[423, 689]",786.7169687649146,518.1429484483452,0.008345934221929918
3,"[623, 854]",756.5619211701134,484.5770630005044,0.0065726692690275534
3,"[933, 929]",673.0706602887935,388.0851041269084,0.006412072826617821
3,"[806, 930]",644.471377230514,358.74026842724174,0.0014067090137390992
3,"[806, 824]",736.9943659130479,469.33251042842204,-0.003304872134067216
3,"[50, 881]",903.8879995567015,667.6957160781781,-0.01030312053156679
3,"[806, 547]",661.302372343017,387.70889201685077,-0.01126721953072457
3,"[933, 930]",635.8791017545874,358.8837979820579,-0.012059685182124996
3,"[933, 955]",633.9364073834756,367.03202282979396,-0.025940115127220414
3,"[630, 929]",748.369782637919,500.95373503289704,-0.027949075005786972
3,"[933, 164]",756.2799085177242,510.4868484181817,-0.02845626856132971
3,"[806, 974]",666.4974304704604,407.2172486617909,-0.029287461304191464
3,"[917, 930]",653.9941255372731,393.63695731482966,-0.030473010443055337
3,"[933, 916]",645.8423614344562,385.3722087161305,-0.03203258627947331
3,"[876, 854]",739.1803515876506,493.88952487844557,-0.032714698688113886
3,"[64, 881]",921.2525869582325,709.1745472895126,-0.03885556931709078
3,"[876, 689]",775.4692092726555,548.5509577347854,-0.049630461686519856
3,"[329, 929]",762.3030052422444,534.7836595629734,-0.05159048586403736
3,"[933, 848]",633.07729310765,398.05689168654214,-0.06869001641630834
3,"[630, 547]",728.0092192162158,512.2613566030669,-0.07450270429824718
3,"[64, 854]",783.141779261504,623.1042395631927,-0.13731581721210107
3,"[64, 164]",873.0238864568554,770.6784172789692,-0.19548359613801392
