gen,max_abs,min_abs,med_abs,min_overlap,max_overlap,med_overlap,min_score,med_score,max_score
1,431.2732709151699,408.7997959254346,355.47912452212375,207.75910650214837,150.66847477893694,124.41264015765358,201.0406894232862,231.06648436447017,280.60479613623295
2,355.1176664126782,454.2447346998676,505.42021976248935,146.88794264175277,210.03078107284807,169.15811732378234,208.22972377092543,244.21395362701952,336.262102438707
3,308.46940709486245,358.7702824978725,505.42021976248935,99.86198677433693,105.84753770840655,169.15811732378234,208.60742032052553,252.92274478946592,336.262102438707
4,442.7977005980067,386.500976409696,505.42021976248935,211.75443113939855,130.08471852140775,169.15811732378234,231.04326945860817,256.41625788828827,336.262102438707
5,382.83482775425824,465.29487773890486,505.42021976248935,167.93320363416666,199.78625816416564,169.15811732378234,214.90162412009158,265.5086195747392,336.262102438707
6,406.7339086226672,406.3801355488245,505.42021976248935,195.95764239789085,132.44958611941271,169.15811732378234,210.77626622477632,273.9305494294118,336.262102438707
7,445.01920304383606,446.02864219148256,505.42021976248935,230.62150134746412,167.60447944659742,169.15811732378234,214.39770169637194,278.42416274488517,336.262102438707
8,404.996703604052,453.7907800683812,505.42021976248935,182.54095741685327,170.58012585261002,169.15811732378234,222.45574618719874,283.21065421577117,336.262102438707
9,414.145476992207,446.30120193280334,505.42021976248935,181.79840150504734,162.99810824756062,169.15811732378234,232.34707548715969,283.30309368524274,336.262102438707
10,395.0775865237439,433.5459573157845,505.42021976248935,174.98434015016875,150.0884625052808,169.15811732378234,220.09324637357514,283.4574948105037,336.262102438707
11,454.9477352693784,509.62702992452364,505.42021976248935,233.9101224752806,224.24819254243135,169.15811732378234,221.03761279409784,285.3788373820923,336.262102438707
12,443.8954029068469,435.3785258352775,505.42021976248935,205.82613644557006,149.6049942147321,169.15811732378234,238.06926646127687,285.77353162054544,336.262102438707
13,373.5765517567498,473.0915528513117,505.42021976248935,144.24912972289894,186.68573138993517,169.15811732378234,229.32742203385084,286.4058214613765,336.262102438707
14,437.1670604002739,519.7152837671856,505.42021976248935,201.4637505452333,233.28534401766632,169.15811732378234,235.7033098550406,286.4299397495193,336.262102438707
15,435.35723998256185,457.07544424490305,505.42021976248935,214.1544525437435,169.96166575129732,169.15811732378234,221.20278743881835,287.11377849360576,336.262102438707
