gen,pair,combined_abs,overlap,score
1,"[439, 840]",914.2435708664273,662.0409851176091,252.20258574881814
1,"[743, 750]",960.9752641801008,746.7533547723888,214.22190940771202
1,"[354, 846]",792.9856847425057,588.5274590348482,204.45822570765745
1,"[328, 457]",940.785872381797,737.3377258386154,203.44814654318168
1,"[42, 808]",748.2098645054399,544.9690024966525,203.24086200878742
1,"[199, 753]",893.1002645113757,690.4128486808768,202.68741583049894
1,"[540, 884]",795.4728164940593,594.6096581803686,200.86315831369075
1,"[916, 120]",873.1722751837553,715.1729659559395,157.99930922781584
1,"[889, 668]",848.4486526459476,693.7856611322688,154.66299151367878
1,"[811, 152]",855.3312707177853,702.9586003760962,152.37267034168906
1,"[892, 805]",903.5976759379789,759.4357839851475,144.1618919528314
1,"[713, 950]",861.0921026383795,718.5618327165677,142.53026992181185
1,"[396, 341]",923.8022629067519,785.2479897910227,138.5542731157292
1,"[77, 580]",899.6437536648062,784.1773208774905,115.46643278731574
1,"[855, 542]",870.7066850000598,758.1157421410787,112.59094285898107
1,"[799, 122]",940.9553863146136,836.5305379560217,104.42484835859193
1,"[831, 362]",801.5900322165628,703.5915223482713,97.99850986829153
1,"[922, 133]",906.2266524976283,809.3337834222853,96.89286907534301
1,"[229, 988]",865.3179222670535,772.4468056429603,92.87111662409325
1,"[99, 96]",963.018461394152,870.9952660299831,92.02319536416894
1,"[504, 700]",1020.4939571576052,928.6073320630376,91.88662509456765
1,"[722, 837]",861.985919136953,785.2698359724129,76.71608316454012
1,"[975, 397]",906.8941862294174,841.6892363800656,65.2049498493518
1,"[539, 289]",938.6837956798798,886.135396081893,52.54839959798687
1,"[74, 318]",918.3632406772786,866.4658136794661,51.89742699781243
1,"[428, 233]",1019.5959067596692,968.9768856071294,50.61902115253986
1,"[381, 180]",908.7533162664818,866.9192896967876,41.834026569694174
1,"[644, 20]",968.8470784986931,942.3229758763466,26.524102622346504
1,"[99, 302]",964.234186935879,941.935580125557,22.2986068103221
1,"[494, 245]",920.3497818471155,900.0589086957373,20.290873151378264
1,"[254, 118]",1014.2001577314649,1064.8697186132608,-50.669560881795974
1,"[289, 428]",972.8269331203336,1031.321023563095,-58.494090442761376
2,"[439, 840]",914.2435708664273,662.0409851176091,252.20258574881814
2,"[743, 750]",960.9752641801008,746.7533547723888,214.22190940771202
2,"[354, 846]",792.9856847425057,588.5274590348482,204.45822570765745
2,"[328, 457]",940.785872381797,737.3377258386154,203.44814654318168
2,"[42, 808]",748.2098645054399,544.9690024966525,203.24086200878742
2,"[199, 753]",893.1002645113757,690.4128486808768,202.68741583049894
2,"[540, 884]",795.4728164940593,594.6096581803686,200.86315831369075
2,"[855, 580]",812.3380822024756,622.5262294751325,189.81185272734308
2,"[42, 750]",832.9511082287806,643.525806533358,189.4253016954226
2,"[540, 808]",768.4826730767247,583.2492852093686,185.2333878673561
2,"[892, 950]",809.5459734329139,625.6450415044577,183.9009319284562
2,"[855, 753]",817.5211874383937,634.1925758686424,183.32861156975127
2,"[328, 753]",779.9926684740186,603.8027318698914,176.18993660412718
2,"[713, 843]",887.2148612727408,720.1905524003055,167.0243088724353
2,"[916, 120]",873.1722751837553,715.1729659559395,157.99930922781584
2,"[889, 668]",848.4486526459476,693.7856611322688,154.66299151367878
2,"[328, 341]",887.3475325754541,734.0391405062181,153.308392069236
2,"[811, 152]",855.3312707177853,702.9586003760962,152.37267034168906
2,"[892, 120]",940.261369881229,790.5171302987953,149.7442395824337
2,"[396, 668]",824.8355933679069,677.1908307000776,147.64476266782924
2,"[42, 477]",785.377891745352,639.0543603726816,146.32353137267046
2,"[328, 720]",948.3089071682427,803.5219471792648,144.78695998897797
2,"[892, 805]",903.5976759379789,759.4357839851475,144.1618919528314
2,"[747, 750]",938.7525934018214,794.9811032548724,143.77149014694896
2,"[713, 950]",861.0921026383795,718.5618327165677,142.53026992181185
2,"[855, 108]",870.8053948254848,730.2040532469418,140.60134157854293
2,"[396, 341]",923.8022629067519,785.2479897910227,138.5542731157292
2,"[77, 580]",899.6437536648062,784.1773208774905,115.46643278731574
2,"[855, 542]",870.7066850000598,758.1157421410787,112.59094285898107
2,"[482, 808]",857.1147546455763,745.5456531382033,111.56910150737303
2,"[799, 122]",940.9553863146136,836.5305379560217,104.42484835859193
2,"[713, 241]",988.5416305262271,972.9009115179689,15.640719008258202
3,"[855, 798]",712.5109663788362,457.7597275849917,254.7512387938445
3,"[439, 840]",914.2435708664273,662.0409851176091,252.20258574881814
3,"[916, 662]",698.0005443858607,456.3717511167967,241.62879326906403
3,"[328, 986]",822.703658522759,590.8507565740847,231.85290194867434
3,"[743, 750]",960.9752641801008,746.7533547723888,214.22190940771202
3,"[855, 950]",747.0643275483701,536.9916847851573,210.0726427632128
3,"[354, 846]",792.9856847425057,588.5274590348482,204.45822570765745
3,"[328, 457]",940.785872381797,737.3377258386154,203.44814654318168
3,"[42, 808]",748.2098645054399,544.9690024966525,203.24086200878742
3,"[328, 671]",785.5264757127162,582.7662297672603,202.76024594545595
3,"[199, 753]",893.1002645113757,690.4128486808768,202.68741583049894
3,"[328, 750]",833.3597198190298,631.9378375918764,201.42188222715345
3,"[540, 884]",795.4728164940593,594.6096581803686,200.86315831369075
3,"[540, 950]",729.4000055650307,537.1317319952196,192.26827356981107
3,"[855, 580]",812.3380822024756,622.5262294751325,189.81185272734308
3,"[42, 750]",832.9511082287806,643.525806533358,189.4253016954226
3,"[855, 846]",833.258246962483,644.1302425342005,189.12800442828245
3,"[408, 843]",884.2897714334292,698.1748442458929,186.1149271875363
3,"[540, 808]",768.4826730767247,583.2492852093686,185.2333878673561
3,"[892, 950]",809.5459734329139,625.6450415044577,183.9009319284562
3,"[855, 753]",817.5211874383937,634.1925758686424,183.32861156975127
3,"[328, 753]",779.9926684740186,603.8027318698914,176.18993660412718
3,"[889, 846]",855.7975176074465,687.8626798784112,167.93483772903528
3,"[713, 843]",887.2148612727408,720.1905524003055,167.0243088724353
3,"[916, 120]",873.1722751837553,715.1729659559395,157.99930922781584
3,"[855, 60]",844.913777868733,687.5118719494629,157.40190591927
3,"[889, 668]",848.4486526459476,693.7856611322688,154.66299151367878
3,"[42, 211]",895.5385516902219,742.3506284854146,153.18792320480725
3,"[199, 138]",945.6704975467238,809.2794640170025,136.3910335297213
3,"[892, 846]",895.7398928470266,769.2418925653822,126.49800028164441
3,"[855, 384]",843.832627119747,742.0964685783708,101.7361585413762
3,"[354, 20]",884.1945207487861,812.130490354773,72.06403039401312
4,"[855, 662]",702.6079931987908,441.38452949630766,261.2234637024832
4,"[328, 662]",665.079474234416,407.8527015271391,257.2267727072769
4,"[855, 798]",712.5109663788362,457.7597275849917,254.7512387938445
4,"[439, 840]",914.2435708664273,662.0409851176091,252.20258574881814
4,"[916, 662]",698.0005443858607,456.3717511167967,241.62879326906403
4,"[540, 798]",694.8466443954966,456.44391502144316,238.40272937405342
4,"[328, 986]",822.703658522759,590.8507565740847,231.85290194867434
4,"[328, 716]",827.8443632992983,607.0442074289496,220.8001558703487
4,"[743, 750]",960.9752641801008,746.7533547723888,214.22190940771202
4,"[855, 950]",747.0643275483701,536.9916847851573,210.0726427632128
4,"[354, 846]",792.9856847425057,588.5274590348482,204.45822570765745
4,"[328, 457]",940.785872381797,737.3377258386154,203.44814654318168
4,"[42, 808]",748.2098645054399,544.9690024966525,203.24086200878742
4,"[328, 671]",785.5264757127162,582.7662297672603,202.76024594545595
4,"[199, 753]",893.1002645113757,690.4128486808768,202.68741583049894
4,"[328, 750]",833.3597198190298,631.9378375918764,201.42188222715345
4,"[540, 884]",795.4728164940593,594.6096581803686,200.86315831369075
4,"[42, 580]",774.4009516478513,576.8612350682489,197.53971657960244
4,"[167, 950]",744.4548984743352,547.111594596994,197.3433038773412
4,"[540, 950]",729.4000055650307,537.1317319952196,192.26827356981107
4,"[199, 750]",946.467315856387,754.206617130812,192.26069872557503
4,"[540, 750]",853.2239168000654,662.8342968537356,190.38961994632973
4,"[855, 580]",812.3380822024756,622.5262294751325,189.81185272734308
4,"[42, 750]",832.9511082287806,643.525806533358,189.4253016954226
4,"[855, 846]",833.258246962483,644.1302425342005,189.12800442828245
4,"[540, 808]",768.4826730767247,583.2492852093686,185.2333878673561
4,"[88, 986]",873.671075984164,694.4387475864057,179.23232839775824
4,"[328, 753]",779.9926684740186,603.8027318698914,176.18993660412718
4,"[328, 187]",836.7819274839105,668.3770693566164,168.40485812729412
