wavelength,1.5 AM irrandiance,Normalized 1.5AM
280,2.54E-26,1.77E-26
280.5,1.09E-24,7.61E-25
281,6.13E-24,4.27E-24
281.5,2.75E-22,1.92E-22
282,2.83E-21,1.98E-21
282.5,1.33E-20,9.25E-21
283,6.76E-20,4.71E-20
283.5,1.46E-19,1.02E-19
284,4.98E-18,3.47E-18
284.5,2.16E-17,1.51E-17
285,9.00E-17,6.27E-17
285.5,6.44E-16,4.49E-16
286,2.35E-15,1.64E-15
286.5,1.85E-14,1.29E-14
287,7.25E-14,5.06E-14
287.5,3.66E-13,2.55E-13
288,2.81E-12,1.96E-12
288.5,9.07E-12,6.32E-12
289,3.50E-11,2.44E-11
289.5,1.54E-10,1.07E-10
290,5.15E-10,3.59E-10
290.5,1.33E-09,9.27E-10
291,3.90E-09,2.72E-09
291.5,1.44E-08,1.01E-08
292,4.08E-08,2.84E-08
292.5,7.04E-08,4.91E-08
293,1.58E-07,1.10E-07
293.5,4.71E-07,3.28E-07
294,9.46E-07,6.59E-07
294.5,1.60E-06,1.11E-06
295,3.22E-06,2.25E-06
295.5,8.02E-06,5.59E-06
296,1.47E-05,1.03E-05
296.5,2.33E-05,1.62E-05
297,3.32E-05,2.31E-05
297.5,6.79E-05,4.73E-05
298,1.11E-04,7.76E-05
298.5,1.43E-04,9.95E-05
299,2.03E-04,1.42E-04
299.5,3.74E-04,2.61E-04
300,4.56E-04,3.18E-04
300.5,5.72E-04,3.99E-04
301,9.19E-04,6.41E-04
301.5,0.0013201,9.20E-04
302,0.001457,1.02E-03
302.5,0.002191,1.53E-03
303,0.0037332,2.60E-03
303.5,0.0048044,3.35E-03
304,0.0050973,3.55E-03
304.5,0.0064675,4.51E-03
305,0.0089336,6.23E-03
305.5,0.010186,7.10E-03
306,0.01015,7.07E-03
306.5,0.011568,8.06E-03
307,0.015246,1.06E-02
307.5,0.019468,1.36E-02
308,0.020753,1.45E-02
308.5,0.02275,1.59E-02
309,0.022298,1.55E-02
309.5,0.023672,1.65E-02
310,0.027826,1.94E-02
310.5,0.035879,2.50E-02
311,0.045392,3.16E-02
311.5,0.046156,3.22E-02
312,0.050898,3.55E-02
312.5,0.053766,3.75E-02
313,0.058323,4.07E-02
313.5,0.058999,4.11E-02
314,0.065266,4.55E-02
314.5,0.070476,4.91E-02
315,0.073686,5.14E-02
315.5,0.064833,4.52E-02
316,0.067088,4.68E-02
316.5,0.081118,5.65E-02
317,0.09302,6.48E-02
317.5,0.099712,6.95E-02
318,0.095815,6.68E-02
318.5,0.10005,6.97E-02
319,0.10971,7.65E-02
319.5,0.10693,7.45E-02
320,0.11277,7.86E-02
320.5,0.13305,9.27E-02
321,0.13414,9.35E-02
321.5,0.12817,8.93E-02
322,0.122,8.50E-02
322.5,0.1197,8.34E-02
323,0.11623,8.10E-02
323.5,0.13393,9.33E-02
324,0.14852,1.04E-01
324.5,0.15467,1.08E-01
325,0.15504,1.08E-01
325.5,0.17936,1.25E-01
326,0.20868,1.45E-01
326.5,0.22162,1.54E-01
327,0.21834,1.52E-01
327.5,0.21285,1.48E-01
328,0.19773,1.38E-01
328.5,0.20675,1.44E-01
329,0.23297,1.62E-01
329.5,0.25864,1.80E-01
330,0.26192,1.83E-01
330.5,0.24103,1.68E-01
331,0.22835,1.59E-01
331.5,0.23635,1.65E-01
332,0.24508,1.71E-01
332.5,0.24655,1.72E-01
333,0.24263,1.69E-01
333.5,0.23265,1.62E-01
334,0.23823,1.66E-01
334.5,0.25434,1.77E-01
335,0.26477,1.85E-01
335.5,0.25894,1.80E-01
336,0.23813,1.66E-01
336.5,0.22099,1.54E-01
337,0.21767,1.52E-01
337.5,0.23434,1.63E-01
338,0.25321,1.76E-01
338.5,0.26549,1.85E-01
339,0.27096,1.89E-01
339.5,0.27847,1.94E-01
340,0.29659,2.07E-01
340.5,0.29674,2.07E-01
341,0.27932,1.95E-01
341.5,0.27853,1.94E-01
342,0.29121,2.03E-01
342.5,0.30296,2.11E-01
343,0.30857,2.15E-01
343.5,0.29246,2.04E-01
344,0.25352,1.77E-01
344.5,0.24439,1.70E-01
345,0.27854,1.94E-01
345.5,0.29761,2.07E-01
346,0.29132,2.03E-01
346.5,0.29747,2.07E-01
347,0.30318,2.11E-01
347.5,0.29351,2.05E-01
348,0.29306,2.04E-01
348.5,0.29884,2.08E-01
349,0.28864,2.01E-01
349.5,0.2972,2.07E-01
350,0.32913,2.29E-01
350.5,0.35471,2.47E-01
351,0.34603,2.41E-01
351.5,0.33388,2.33E-01
352,0.32674,2.28E-01
352.5,0.30954,2.16E-01
353,0.32975,2.30E-01
353.5,0.36351,2.53E-01
354,0.38523,2.68E-01
354.5,0.39043,2.72E-01
355,0.3914,2.73E-01
355.5,0.37878,2.64E-01
356,0.35627,2.48E-01
356.5,0.33495,2.33E-01
357,0.29527,2.06E-01
357.5,0.2995,2.09E-01
358,0.27936,1.95E-01
358.5,0.25998,1.81E-01
359,0.3065,2.14E-01
359.5,0.37013,2.58E-01
360,0.3924,2.73E-01
360.5,0.37167,2.59E-01
361,0.34278,2.39E-01
361.5,0.33647,2.35E-01
362,0.3535,2.46E-01
362.5,0.38804,2.70E-01
363,0.40005,2.79E-01
363.5,0.38994,2.72E-01
364,0.40472,2.82E-01
364.5,0.40179,2.80E-01
365,0.4181,2.91E-01
365.5,0.4611,3.21E-01
366,0.49508,3.45E-01
366.5,0.49694,3.46E-01
367,0.48869,3.41E-01
367.5,0.48041,3.35E-01
368,0.45319,3.16E-01
368.5,0.45106,3.14E-01
369,0.47244,3.29E-01
369.5,0.50856,3.54E-01
370,0.51666,3.60E-01
370.5,0.46798,3.26E-01
371,0.47628,3.32E-01
371.5,0.49587,3.46E-01
372,0.46506,3.24E-01
372.5,0.44389,3.09E-01
373,0.42833,2.99E-01
373.5,0.38682,2.70E-01
374,0.38651,2.69E-01
374.5,0.38435,2.68E-01
375,0.41087,2.86E-01
375.5,0.45514,3.17E-01
376,0.47218,3.29E-01
376.5,0.46538,3.24E-01
377,0.50014,3.49E-01
377.5,0.5589,3.90E-01
378,0.60314,4.20E-01
378.5,0.58892,4.10E-01
379,0.52616,3.67E-01
379.5,0.47255,3.29E-01
380,0.49751,3.47E-01
380.5,0.53396,3.72E-01
381,0.54424,3.79E-01
381.5,0.49135,3.42E-01
382,0.41958,2.92E-01
382.5,0.36361,2.53E-01
383,0.32648,2.28E-01
383.5,0.31658,2.21E-01
384,0.36689,2.56E-01
384.5,0.44239,3.08E-01
385,0.48638,3.39E-01
385.5,0.46549,3.24E-01
386,0.44984,3.14E-01
386.5,0.46848,3.27E-01
387,0.47343,3.30E-01
387.5,0.46731,3.26E-01
388,0.4635,3.23E-01
388.5,0.46096,3.21E-01
389,0.50121,3.49E-01
389.5,0.55637,3.88E-01
390,0.58457,4.07E-01
390.5,0.59038,4.11E-01
391,0.62634,4.37E-01
391.5,0.63617,4.43E-01
392,0.58656,4.09E-01
392.5,0.48961,3.41E-01
393,0.35502,2.47E-01
393.5,0.28272,1.97E-01
