GA,NFA_index,donor_index,predicted_score,NFA_smiles,donor_SMILES
5,660,873,462.7962428,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1sc(c2c1c(C#N)ccc2)c1sc(c2c1c(C#N)ccc2)c1sc(c2c1c(C#N)ccc2)c1sc2-c3c(OC(CC)(CC)c2c1)cc(s3)c1sc(c2c1c(C#N)ccc2)c1sc(c2c1c(C#N)ccc2)
5,660,789,457.2167075,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1oc(c(c1OC)C#N)c1oc(c(c1OC)C#N)c1sc(c2c1cc(C)c(OC)c2)c1sc(c2c1cc(C)c(OC)c2)c1oc(c(c1OC)C#N)c1oc(c(c1OC)C#N)
5,660,857,453.7630805,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1cc(C(=O)O)c(s1)c1cc(C(=O)O)c(s1)c1sc(c2c1cc(C)c(OC)c2)c1sc(c2c1cc(C)c(OC)c2)c1cc(C(=O)O)c(s1)c1cc(C(=O)O)c(s1)
5,660,871,452.6386479,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1sc(c2c1c(C=C)ccc2C)c1sc(c2c1c(C=C)ccc2C)c1sc(c2c1c(C=C)ccc2C)c1sc(c2c1c(C=C)ccc2C)c1sc(c2c1cc(OC)c(OC)c2)c1sc(c2c1c(C=C)ccc2C)
5,660,977,450.5597501,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1sc(c2sc(C(=O)OCC)c(c12)F)c1sc(c2c1cc(C)cc2)c1sc(c2c1cc(C)cc2)c1sc(c2sc(C(=O)OCC)c(c12)F)c1sc(c2sc(C(=O)OCC)c(c12)F)c1sc(c2sc(C(=O)OCC)c(c12)F)
5,660,992,450.558621,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1sc(c2c1cc(OC)c(OC)c2)c1sc(c2c1cc(OC)c(OC)c2)c1sc(c2c1cccc2F)c1sc(c2c1cccc2F)c1sc(c2c1cccc2F)c1sc(c2c1cccc2F)
5,660,921,450.4332258,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1sc(c2c1c(C=C)ccc2C)c1sc(c2c1c(C=C)ccc2C)c1sc(c2c1cc(C)c(OC)c2)c1sc(c2c1cc(C)c(OC)c2)c1sc(c2c1c(C=C)ccc2C)c1sc(c2c1c(C=C)ccc2C)
5,660,874,448.9635982,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1sc(c2c1c(C(F)(F)F)ccc2OC)c(s1)c2cc(OC)c(OC)cc2c1C=Cc1sc(c2c1c(C(F)(F)F)ccc2OC)c1sc(c2c1c(C(F)(F)F)ccc2OC)c1sc(c2c1c(C(F)(F)F)ccc2OC)c1sc(c2c1c(C(F)(F)F)ccc2OC)
5,660,859,447.0687162,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1cc2c(c3sc(CC)c(Cl)c3Cl)c3c(c(c4sc(CC)c(c4Cl)Cl)c2s1)cc(s3)c1sc(c2c1cc(C)cc2)c1sc(c2c1cc(C)cc2)c1sc(c2c1cc(C)cc2)c1sc(c2c1cc(C)cc2)c1sc(c2c1cc(C)cc2)
5,660,783,446.5758572,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1sc(c2c1c(C#N)ccc2)c1sc(c2c1c(C#N)ccc2)c1sc(c2c1c(C#N)ccc2)c1sc(c2c1c(C#N)ccc2)c1sc(c2c1cc(OC)c(OC)c2)c1sc(c2c1c(C#N)ccc2)
