Acceptor,Donor ,DOI,Voc (V),Jsc (mA/cm^2),FF (%),PCE (%),NFA abs max (solutioN),NFA max abs nm (thin film),NFA opt bg,NFA HOMO,NFA LUMO,donor abs solution,donor abs film,donor opt bg,donor HOMO,donor LUMO
2FIFIC,PBDB-TF,10.1039/D0TC04749J,0.8,22.4,61.5,11.34,750,817,1.38,-5.45,-3.97,,,,-5.45,-3.57
2T2Se-F,PBDB-TF,10.1016/j.cej.2021.132298,0.875,20.63,66.9,12.05,694,806,1.31,-5.52,-3.83,,,,-5.45,-3.64
3TT-CIC,PTB7-Th,10.1002/aenm.201901024,0.65,26.67,69,11.96,806,885,1.23,-5.24,-3.95,,,,-5.2,-3.66
3TT-OCIC,PTB7-Th,10.1002/aenm.201901024,0.68,26.49,69,12.43,809,860,1.29,-5.22,-3.91,,,,,
4T-1,PBDB-T,10.1002/adfm.202101742,0.84,12.7,51.71,5.53,600,704,1.47,-5.71,-4.09,,,,,
4T-2,PBDB-T,10.1002/adfm.202101742,0.82,15.68,70.32,9.09,600,654,1.54,-5.85,-4.02,,,,,
4T-3,D18,10.1002/adfm.202101742,0.93,18.28,70.97,12.04,,,,,,,,,,
4T-3,PBDB-T,10.1002/adfm.202101742,0.81,17.27,72.45,10.15,599,667,1.52,-5.86,-3.98,,,,,
4T-4,PBDB-T,10.1002/adfm.202101742,0.94,14.27,61.82,8.27,599,651,1.6,-5.85,-3.86,,,,,
4TC-4F-C16,PBTIBDTT,10.1002/solr.202000359,0.91,16.12,65,9.53,690,736,1.48,-5.53,-3.96,,,,-5.47,-3.6
4TC-4F-C6C8,PBTIBDTT,10.1002/solr.202000359,0.84,6.75,42,2.38,688,737,1.49,-5.59,-4,,,,,
4TC-4F-C8C8,PBTIBDTT,10.1002/solr.202000359,0.9,18.61,72,12.06,688,732,1.51,-5.6,-3.96,,,,,
4TIC,PTB7-Th,10.1021/acs.chemmater.7b02853,0.78,18.8,72,10.43,,,1.4,-5.28,-3.87,,,,,
5T-OFIC,PBDB-TF,10.1007/s40843-020-1651-5,0.794,24.84,68.1,13.43,784,826,1.34,-5.51,-3.86,,,,-5.45,-3.65
6-IF2F,PTB7-Th,10.1021/acsami.1c13404,0.65,24.69,67.8,11.2,809,889,1.25,-5.38,-4.07,,,,,
6-IF4F,PTB7-Th,10.1021/acsami.1c13404,0.59,25.21,67.9,10.46,816,916,1.22,-5.42,-4.14,,,,-5.24,-3.64
6-IFIC,PTB7-Th,10.1021/acsami.1c13404,0.69,22.35,61.4,9.74,799,862,1.27,-5.34,-4.02,,,,,
6TBA,PTB7-Th,10.1002/adma.201706816,0.98,15.2,68,10.13,,,,-5.24,-3.78,,,,-5.2,-3.59
6TIC,PTB7-Th,10.1002/aenm.201702831,0.831,20.11,66.16,11.07,,,1.37,-5.21,-3.83,,,,,
6T-OFIC,PBDB-TF,10.1007/s40843-020-1651-5,0.782,22.69,69.6,12.35,792,839,1.31,-5.47,-3.89,,,,,
