Molecule,Reference,A (acceptor) or D (donor),max abs solution,max abs film,opt bg,HOMO,LUMO
2D-PBTCl,Chao_synergistic_2018,D,625,627,1.72,-5.45,-3.6
2D-PBTCl2,Chao_synergistic_2018,D,593,642,1.66,-5.43,-3.63
2FIFIC,Zhang_preparation_2020,A,750,817,1.38,-5.45,-3.97
2T2Se-F,Ding_selenophene_2022,A,694,806,1.31,-5.52,-3.83
2TC-TT-BDTFT,Chen_backbone_2019,D,,,,-5.45,-3.5
2T-TCC-BDTFT,Chen_backbone_2019,D,,,,-5.41,-3.53
3BDT-4,Yang_achieving_2021,D,522,606,1.83,-5.14,-3.44
3BDT-5,Yang_achieving_2022,D,512,584,1.9,-5.15,-3.4
3MT-Th,Park_eco-friendly_2017,D,,,,-5.42,-3.4
3TT-CIC,Gao_achieving_2019,A,806,885,1.23,-5.24,-3.95
3TT-OCIC,Gao_achieving_2019,A,809,860,1.29,-5.22,-3.91
4T-1,Zhou_high-efficiency_2021,A,600,704,1.47,-5.71,-4.09
4T-2,Zhou_high-efficiency_2021,A,600,654,1.54,-5.85,-4.02
4T-3,Zhou_high-efficiency_2021,A,599,667,1.52,-5.86,-3.98
4T-4,Zhou_high-efficiency_2021,A,599,651,1.6,-5.85,-3.86
4TC-4F-C16,Ouyang_improving_2020,A,690,736,1.48,-5.53,-3.96
4TC-4F-C6C8,Ouyang_improving_2020,A,688,737,1.49,-5.59,-4
4TC-4F-C8C8,Ouyang_improving_2020,A,688,732,1.51,-5.6,-3.96
4TIC,Shi_design_2017,A,,,1.4,-5.28,-3.87
5T-OFIC,Meng_structural_2021,A,784,826,1.34,-5.51,-3.86
6-IF2F,Zhang_non-fullerene_2021,A,809,889,1.25,-5.38,-4.07
6-IF4F,Zhang_non-fullerene_2021,A,816,916,1.22,-5.42,-4.14
6-IFIC,Zhang_non-fullerene_2021,A,799,862,1.27,-5.34,-4.02
6TBA,Zuo_tackling_2018,A,,,,-5.24,-3.78
6TIC,Shi_terthieno_2018,A,,,1.37,-5.21,-3.83
6T-OFIC,Meng_structural_2021,A,792,839,1.31,-5.47,-3.89
A1,Xu_narrow_2018,A,681,785,1.4,-5.66,-3.7
A2,Xu_narrow_2018,A,707,770,1.36,-5.7,-3.78
A4T-16,Ma_completely_2021,A,,,,-5.67,-3.96
A4T-21,Ma_completely_2021,A,,,,-5.89,-3.92
A4T-23,Ma_completely_2021,A,,,,-5.63,-3.98
A701,Tang_low-bandgap_2020,A,,,,-5.61,-3.8
A702,Zhang_utilizing_2021,A,,,,-5.41,-3.74
ABP4T-4F,Gao_asymmetric_2021,A,720,782,1.37,-5.65,-3.85
ACS8,Chen_highly_2019,A,,,,-5.54,-4.05
AFI3,Ding_acenaphtho_2017,A,504,519,,-5.99,-3.52
a-IT-2F,Li_tuning_2019,A,684,717,1.56,-5.67,-4.07
a-IT-2OM,Li_tuning_2019,A,671,695,1.63,-5.61,-3.92
AOIC,Jia_isomeric_2021,A,758,811,1.44,-5.5,-3.93
AOIC1,Jia_isomeric_2021,A,748,790,1.51,-5.53,-3.94
AOIC2,Jia_isomeric_2021,A,741,782,1.54,-5.62,-3.83
AOT1,Yao_conformation_2021,A,708,773,1.46,-5.52,-3.88
AOT2,Yao_conformation_2021,A,758,856,1.28,-5.39,-3.9
AOT3,Yao_conformation_2021,A,810,938,1.22,-5.37,-3.95
AQx,Zhou_subtle_2019,A,,,,-5.59,-3.85
AQx-2,Zhou_subtle_2019,A,,,,-5.62,-3.88
asy-PBDBTN,Li_crystalline_2017,D,,,,-5.41,-3.58
AT-4Cl,Feng_new_2019,A,691,709,1.6,-5.71,-3.89
AT-NC,Feng_new_2019,A,695,716,1.62,-5.44,-3.8
ATT-1,Liu_a thieno_2016,A,,,1.54,-5.5,-3.63
ATT-2,Liu_efficient_2017,A,,,1.32,-5.5,-3.9
A-WSSe-Cl,Yang_a synergistic_2021,A,758,840,1.31,-5.7,-3.86
AY6,Gao_an asymmetrical_2020,A,717,789,1.39,-5.69,-4.06
B1,Qin_15.3%_2020,D,,,,-5.37,-3.51
BCDT-4Cl,He_near-infrared_2020,A,748,806,1.38,-5.47,-3.88
BCDT-4F,He_near-infrared_2020,A,733,784,1.4,-5.46,-3.86
BCIC2F,Li_regulating_2021,A,713,695,1.45,-5.54,-3.87
BCPDT-1,Wang_near_2021,A,707,824,1.36,-5.36,-3.85
BCPDT-2,Wang_near_2021,A,720,792,1.39,-5.4,-3.79
BDCPDT-FIC,Chang_new_2018,A,710,748,1.49,-5.52,-4
BDCPDT-IC,Chang_isomerically_2019,A,696,727,1.53,-5.41,-3.87
BDCPDT-TTC,Chang_new_2018,A,671,700,1.58,-5.38,-3.78
BDDBO-4F,Wu_a ligand-free_2021,A,,,,-5.56,-3.93
BDDEH-4F,Wu_a ligand-free_2021,A,,,,-5.57,-3.94
BDIC2F,Li_regulating_2021,A,689,722,1.38,-5.55,-3.85
BDSePhCl,Wan_benzo_2019,A,725,790,1.41,-5.61,-3.96
BDSeThCl,Wan_benzo_2019,A,685,706,1.55,-5.58,-3.82
BDT-2DPP,Lin_efficient_2016,D,,626,,-5.23,-3.46
BDT3TR,Badgujar_highly_2016,D,,,,-5.1,-3.28
BDTC-4Cl,Yi_small_2019,A,,,,-5.35,-3.75
BDT-IC,Li_isomeric_2017,A,,739,1.53,-5.51,-3.9
BDTIT-M,An_energy_2018,A,700,730,1.55,-5.4,-3.85
BDTN-BF,Li_novel_2020,A,740,792,1.41,-5.58,-3.73
BDTN-Th,Li_novel_2020,A,740,792,1.41,-5.5,-3.62
BDTP-4F,Luo_conformation_2020,A,750,820,1.36,-5.61,-3.9
BDTS-2DPP,Lin_efficient_2016,D,,624,,-5.28,-3.49
BDTS-4Cl,Yi_small_2019,A,,,,-5.45,-3.82
BDTThIT-M,An_energy_2018,A,710,738,1.53,-5.35,-3.82
BFC-4F,Yu_modulating_2020,A,727,,1.45,-5.54,-3.82
BIBT-NI,Lan_naphthalimide_2019,A,,503,,-5.62,-3.65
BID-4F,Chang_diflurobenzothiadiazole_2020,A,,749,1.53,-5.69,-3.73
BisPDI-T-di-EG,Lu_impact_2013,A,560,545,,-5.57,-3.84
BN-0F,Zhang_high-performance_2021,A,759,801,1.41,-5.35,-3.94
BN-2F,Zhang_high-performance_2021,A,764,808,1.4,-5.39,-3.99
BN-4F,Zhang_high-performance_2021,A,768,816,1.38,-5.44,-4.06
BO2FC8,Lin_enhancing_2019,D,,,,-5.5,-3.6
BO2FEH,Lin_enhancing_2019,D,,,,-5.59,-3.59
BO2FIDT-4Cl,Zhang_electron-deficient_2020,A,693,708,1.59,-5.73,-3.89
BO-4Cl,Li_unveiling_2021,A,,,,-5.69,-4.1
BO-4Cl,Qin_15.3%_2020,A,,,,-5.66,-4.09
BO-4F,Chen_high-performance_2021,A,733,811,1.4,-5.7,-4.01
BOC-4F,Yu_modulating_2020,A,755,,1.42,-5.4,-3.78
BP4T-4F,Gao_asymmetric_2021,A,732,826,1.33,-5.71,-3.91
BP5T-4F,Gao_asymmetric_2021,A,735,813,1.34,-5.63,-3.88
B-PDI-B,Zhang_cooperatively_2014,A,,,,-5.57,-3.95
BPF-4F,Chai_deciphering_2020,A,742,,1.36,-5.58,-3.98
BPS-4F,Chai_deciphering_2020,A,749,,1.29,-5.54,-4
BPT-4F,Chai_deciphering_2020,A,727,,1.36,-5.59,-4
BPTCN,Luo_enhanced_2020,A,,569,,-5.38,-3.66
Br-ITIC,Yang_halogenated_2017,A,,,,-5.73,-4.2
BSCl-C1,Wu_modulation_2020,D,506.5,533.5,1.87,-5.59,-3.34
BSCl-C2,Wu_modulation_2020,D,506.5,566.8,1.82,-5.58,-3.39
BSCl-C3,Wu_modulation_2020,D,506,569.7,1.84,-5.55,-3.37
BSFTR,Yue_13.7%_2019,D,,,,-5.59,-3.61
BT2,Xiao_non-fullerne_2017,A,605,619,1.82,-5.5,-3.53
BT2b,Xiao_non-fullerne_2017,A,621,646,1.75,-5.41,-3.56
BT2F-IC4F,Wang_small_2020,A,724,703,1.38,-5.98,-4.31
BT2FIDT-4Cl,Zhang_electron-deficient_2020,A,695,722,1.56,-5.7,-3.88
BT3,Xiao_A2_2018,A,657,674,1.59,-5.26,-3.66
BT6IC-HD-4Cl,Mo_synergistic_2020,A,746,828,1.35,-5.57,-4.1
BTA1,Guo_modulating_2021,A,,,,-5.46,-3.59
BTA1,Xiao_P3HT-based_2017,A,593,610,1.85,-5.51,-3.55
BTA100,Zhang_A2-A1-D-A1-A2_2018,A,556,564,2.05,-5.32,-3.23
BTA101,Zhang_A2-A1-D-A1-A2_2018,A,593,606,1.88,-5.41,-3.55
BTA103,Zhang_A2-A1-D-A1-A2_2018,A,617,627,1.77,-5.37,-3.64
BTA11,Guo_modulating_2021,A,,,,-5.29,-3.53
BTA13,Guo_modulating_2021,A,,,,-5.34,-3.62
BTA17,Guo_modulating_2021,A,,,,-5.41,-3.69
BTA2,Xiao_P3HT-based_2017,A,558,573,2,-5.43,-3.38
BTA3,Guo_modulating_2021,A,,,,-5.49,-3.73
BTA3,Tang_benzotriazole_2019,A,,,,-5.49,-3.73
BTA3,Wang_tuning_2020,A,,,,-5.54,-3.69
BTA3,Xiao_A2_2018,A,613,636,1.76,-5.49,-3.61
BTA4,Wang_tuning_2020,A,,,,-5.5,-3.65
BTA43,Xiao_effects_2020,A,600,644,1.78,-5.44,-3.47
BTA5,Wang_tuning_2020,A,,,,-5.55,-3.71
BTA53,Xiao_effects_2020,A,607,690,1.68,-5.48,-3.58
BTA7,Guo_modulating_2021,A,,,,-5.56,-3.66
BT-BIC,Li_systematic_2021,A,688,748,1.52,-5.46,-3.73
BT-BO-L4F,Li_systematic_2021,A,762,837,1.32,-5.58,-3.98
BTC6-0F,Huang_A-D-C-D-A_2021,A,711,685,1.48,-5.47,-3.71
BTC6-2F,Huang_A-D-C-D-A_2021,A,720,700,1.44,-5.52,-3.8
BTC6-4F,Huang_A-D-C-D-A_2021,A,724,781,1.43,-5.56,-3.86
BTCIC,Pang_nonfused_2020,A,734,723,1.36,-5.53,-4
BT-CIC,Li_high_2017,A,,,,-5.49,-4.09
BT-CIC,Li_near-infrared_2018,A,,,,-5.49,-4.09
BTCIC-4Cl,Pang_nonfused_2020,A,756,748,1.31,-5.64,-4.12
BT-Cl,Lu_non-fullerene_2021,A,759,842,1.31,-5.42,-3.71
BTCPDT,Yoon_effects_2020,A,744,815,1.34,-5.54,-3.95
BTCPDTF,Yoon_effects_2020,A,724,781,1.44,-5.64,-3.92
BTCPDTO4,Yoon_effects_2020,A,752,795,1.38,-5.52,-3.9
BTCT-2Cl,Li_roles_2020,A,,,,-5.56,-3.95
BT-dIDT,Zhang_A2-D-A1-D-A1_2020,A,696,718,1.54,-5.34,-3.87
BTDT2R,Ahn_simple_2019,A,530,550,1.88,-5.61,-3.73
BTDTP-4F,Luo_conformation_2020,A,761,857,1.3,-5.56,-3.93
BT-F,Lu_non-fullerene_2021,A,696,811,1.33,-5.41,-3.7
BT-IC,Li_a near-infrared_2017,A,,,1.43,-5.32,-3.85
BTIC-2Br-m,Wang_bromination_2020,A,734,820,,-5.56,-4.07
BTIC-2Cl-yCF3,Chen_17.1%_2021,A,,,,-5.55,-4
BTIC-4Br,Wang_bromination_2020,A,746,825,,-5.57,-4.11
BTIC-4EO-4Br,Mo_effects_2021,A,750,805,1.39,-5.45,-4.03
BTIC-4EO-4Cl,Mo_effects_2021,A,747,800,1.39,-5.72,-3.93
BTIC-4EO-4F,Mo_effects_2021,A,732,774,1.45,-5.63,-3.88
BTIC-4F,Luo_electron-deficient_2021,A,696,739,1.48,-5.71,-3.95
BT-IC4F,Wang_small_2020,A,746,734,1.37,-5.89,-4.27
BTIC-BO-4Br,Wang_bromination_2020,A,747,823,,-5.53,-4.09
BTIC-CF3-y,Lai_trifluoromethylation_2020,A,744,837,1.3,-5.45,-3.96
BTIC-Cl-m,Lai_trifluoromethylation_2020,A,733,822,1.34,-5.42,-3.91
BTIC-COOMe,Lai_push_2021,A,,,,-5.41,-3.89
BTIC-F-m,Lai_trifluoromethylation_2020,A,724,805,1.36,-5.42,-3.9
BTIC-OCOMe,Lai_push_2021,A,,,,-5.35,-3.83
BTIDIC,Cai_effects_2021,A,713,766,1.47,-5.48,-3.97
BT-L4F,Li_systematic_2021,A,762,838,1.32,-5.57,-4
BT-LIC,Li_systematic_2021,A,733,801,1.38,-5.42,-3.84
BTN-4F,Luo_pyrrole_2021,A,742,834,1.33,-5.73,-4.15
BTOC6C8-IC4F,Shi_the substituents_2021,A,742,773,1.42,-5.52,-3.92
BTOIC,Gao_near-infrared_2018,A,743,781,1.39,-5.42,-3.94
BTOR-IC4F,Wang_small_2020,A,750,710,1.37,-5.92,-4.23
BTP,Li_structural_2020,A,,,,-5.52,-3.82
BTP-1V,Hai_achieving_2021,A,737,829,1.28,-5.54,-3.89
BTP-2Cl-delta,Li_structural_2020,A,,,,-5.57,-3.85
BTP-2F-ThCl,Luo_fine-tuning_2020,A,741,839,1.34,-5.7,-3.99
BTP-2ThCl,Luo_fine-tuning_2020,A,750,829,1.35,-5.67,-3.95
BTP-2V,Hai_achieving_2021,A,756,851,1.28,-5.43,-3.91
BTP-3V,Hai_achieving_2021,A,768,814,1.22,-5.38,-3.9
BTP-4Cl,Cui_over_2019,A,,,,-5.68,-4.12
BTP-4Cl,Li_structural_2020,A,,,,-5.64,-4.15
BTP-4F,Cui_over_2019,A,,,,-5.65,-4.02
BTP-4F,Luo_fine-tuning_2020,A,733,841,1.33,-5.72,-4.01
BTP-4F,Xu_tuning_2020,A,,,,-5.68,-3.89
BTP-4F-12,Hong_eco-compatible_2019,A,,,,-5.69,-3.97
BTP-4F-C5-16,Wang_alkyl_2021,A,,,,-5.73,-3.93
BTP-4V,Hai_achieving_2021,A,760,885,1.21,-5.34,-3.94
BTP-6F,Xu_tuning_2020,A,,,,-5.69,-3.97
BTP-ClBr,Luo_altering_2020,A,746,826,1.38,-5.79,-4
BTP-ClBr1,Luo_altering_2020,A,747,742,1.33,-5.79,-4.03
BTP-ClBr2,Luo_altering_2020,A,754,743,1.33,-5.8,-4.04
BTP-M,Zhan_over_2020,A,,,,-5.48,-3.81
BTP-N,song_fused-heterocycle_2022,A,791,876,1.25,-5.63,-3.98
BTP-PhC6,Chai_enahnced_2020,A,,,,-5.58,-3.85
BTP-S,song_fused-heterocycle_2022,A,737,862,1.26,-5.66,-4.03
BTP-S1,Li_asymmetric_2020,A,,,,-5.55,-4.01
BTP-S2,Li_asymmetric_2020,A,,,,-5.65,-4.01
BTP-S7,Li_unveiling_2021,A,,,,-5.52,-4.08
BTP-S8,Li_unveiling_2021,A,,,,-5.63,-4.09
BTP-S9,Li_unveiling_2021,A,,,,-5.63,-4.09
BTP-Se,song_fused-heterocycle_2022,A,778,853,1.24,-5.64,-4.04
BTPT-4F,Fan_achieving_2019,A,,,,-5.73,-4
BTPTT-4F,Fan_achieving_2019,A,,,,-5.68,-4.06
BTPV-4F,Jia_high_2021,A,,,,-5.39,-4.08
BTPV-4F-eC9,Qin_non-halogenated_2021,A,,,,-5.38,-4.06
BTR,Chen_all-small-molecule_2019,D,520,620,1.78,-5.34,-3.53
BTR,Qin_15.3%_2020,D,,,,-5.34,-3.52
BTR-Cl,Chen_all-small-molecule_2019,D,520,624,1.78,-5.46,-3.7
BTSe-4F,Luo_pyrrole_2021,A,727,804,1.39,-5.78,-4.16
BTTBo-4F,Ma_non-fullerene_2021,A,705,738,1.45,-5.56,-3.85
BTTBo-4FN,Ma_non-fullerene_2021,A,727,763,1.4,-5.48,-3.86
BTTIC,Gao_near-infrared_2018,A,724,759,1.47,-5.59,-3.86
BTTPC,Qin_tuning_2019,A,734,798,1.39,-5.47,-3.78
BTTPC-Br,Qin_tuning_2019,A,741,813,1.37,-5.54,-3.88
BTz-Np,Chatterjee_naphtho_2016,A,517,,1.82,-5.95,-3.44
Bu-OD-4F,Chen_high-performance_2021,A,732,801,1.42,-5.68,-4.01
BZIC,Feng_thieno_2017,A,,,1.45,-5.42,-3.88
