,AorD,HOMO,LUMO,optbg,wavelength_film,wavelength_soln,HOMO,LUMO,optbg,max_abs,total_mins,sTDA_HOMO,sTDA_LUMO,sTDA_optbg,sTDA_max_abs,sTDA_total_mins
2D-PBTCl,D,-5.45,-3.6,1.72,627.0,625.0,-6.71,-1.3,2.61,474.1,36.217,-6.71,-1.3,2.61,474.1,36.217
2D-PBTCl2,D,-5.43,-3.63,1.66,642.0,593.0,,,,,,,,,,
2FIFIC,A,-5.45,-3.97,1.38,817.0,750.0,-7.32,-2.23,2.2,562.6,12.533,-7.32,-2.23,2.2,562.6,12.533
2T2Se-F,A,-5.52,-3.83,1.31,806.0,694.0,-7.47,-2.29,2.2,564.8,8.35,-7.47,-2.29,2.2,564.8,8.35
2TC-TT-BDTFT,D,-5.45,-3.5,,,,,,,,,,,,,
2T-TCC-BDTFT,D,-5.41,-3.53,,,,,,,,,,,,,
3BDT-4,D,-5.14,-3.44,1.83,606.0,522.0,,,,,,,,,,
3BDT-5,D,-5.15,-3.4,1.9,584.0,512.0,-6.86,-1.38,2.68,463.2,30.617,-6.86,-1.38,2.68,463.2,30.617
3MT-Th,D,-5.42,-3.4,,,,,,,,,,,,,
3TT-CIC,A,-5.24,-3.95,1.23,885.0,806.0,,,,,,,,,,
3TT-OCIC,A,-5.22,-3.91,1.29,860.0,809.0,-7.33,-2.33,2.05,605.7,23.033,-7.33,-2.33,2.05,605.7,23.033
4T-1,A,-5.71,-4.09,1.47,704.0,600.0,-7.44,-2.09,2.44,508.9,10.483,-7.44,-2.09,2.44,508.9,10.483
4T-2,A,-5.85,-4.02,1.54,654.0,600.0,,,,,,,,,,
4T-3,A,-5.86,-3.98,1.52,667.0,599.0,,,,,,,,,,
4T-4,A,-5.85,-3.86,1.6,651.0,599.0,,,,,,,,,,
4TC-4F-C16,A,-5.53,-3.96,1.48,736.0,690.0,,,,,,,,,,
4TC-4F-C6C8,A,-5.59,-4.0,1.49,737.0,688.0,,,,,,,,,,
4TC-4F-C8C8,A,-5.6,-3.96,1.51,732.0,688.0,-7.26,-2.03,2.44,507.2,22.933,-7.26,-2.03,2.44,507.2,22.933
4TIC,A,-5.28,-3.87,1.4,,,,,,,,,,,,
5T-OFIC,A,-5.51,-3.86,1.34,826.0,784.0,-6.59,-2.89,0.44,628.8,43.533,-6.59,-2.89,0.44,628.8,43.533
