,AorD,HOMO,LUMO,optbg,wavelength_film,wavelength_soln,sTDDFT_HOMO,sTDDFT_LUMO,sTDDFT_optbg,sTDDFT_max_abs,sTDDFT_total_mins,sTDA_HOMO,sTDA_LUMO,sTDA_optbg,sTDA_max_abs,sTDA_total_mins
NAI-FN-NAI(BO),A,-6.07,-3.96,2.13,426,411,,,,,,,,,,
PB2T,D,-5.63,-3.63,2.24,416,413,-6.71,-1.16,2.61,474.9,38.75,-6.71,-1.16,2.63,378.5,39.167
P3HT,D,-5.01,-3.12,,522,450,,,,,,,,,,
SM2,D,-5.04,-2.7,2.02,521,466,,,,,,,,,,
SF-HR,A,-5.53,-3.33,2.2,478,475,-7.6,-1.49,3.03,407.7,12.7,-7.6,-1.49,3.05,405.5,13.35
PDCBT,D,-5.31,-3,1.9,600,483,-6.96,-1.08,2.59,478.7,13.75,-6.96,-1.08,2.6,477.5,16.783
FBM,A,-6.25,-4.14,2.11,501,486,,,,,,,,,,
PDCBT-2Cl,D,-5.44,-3,1.95,585,486,-7.11,-1.19,2.68,463,16.067,-7.11,-1.19,2.68,462.1,14.983
PDCBT-Cl,D,-5.34,-3.01,1.91,599,491,-7.02,-1.23,2.57,481.6,12.833,-7.02,-1.23,2.58,480.4,12.583
CBM,A,-6.05,-4.13,2.02,547,497,-8.12,-2.15,2.85,434.7,3.933,-8.12,-2.15,2.91,426.1,5.733
SM1-Oct,D,-5.12,-2.8,1.8,570,498,,,,,,,,,,
SM1,D,-5.25,-2.8,1.88,566,500,,,,,,,,,,
PDCBT-2F,D,-5.5,-3.36,1.92,592,501,-6.99,-1.4,2.43,509.4,15.6,-6.99,-1.4,2.44,508,15.517
PDCBT-F,D,-5.32,-2.98,1.93,594,501,,,,,,,,,,
AFI3,A,-5.99,-3.52,,519,504,,,,,,,,,,
SF-OR,A,-5.5,-3.25,2.15,538,504,,,,,,,,,,
BSCl-C3,D,-5.55,-3.37,1.84,569.7,506,,,,,,,,,,
BSCl-C1,D,-5.59,-3.34,1.87,533.5,506.5,,,,,,,,,,
BSCl-C2,D,-5.58,-3.39,1.82,566.8,506.5,-6.97,-1.48,2.58,480.1,14.75,-6.97,-1.48,2.6,477.4,14.75
NTz-Teh-FA,A,-6.06,-3.38,2.13,,509,,,,,,,,,,
PBB,D,-5.54,-3.59,1.95,551,512,-6.8,-1.23,2.63,471.9,40.433,-6.8,-1.23,2.65,467.5,38.767
