,eV,nm,intensity
0,0.5,2479.68386,0.0004125478253990083
1,0.51,2431.0626078431374,0.0004152590391610252
2,0.52,2384.311403846154,0.0004179980647929945
3,0.53,2339.324396226415,0.00042076529695180166
4,0.54,2296.003574074074,0.0004235611375271691
5,0.55,2254.2580545454543,0.00042638599580525406
6,0.56,2214.0034464285714,0.0004292402886366647
7,0.5700000000000001,2175.161280701754,0.00043212444060903655
8,0.58,2137.6585,0.0004350388842243133
9,0.59,2101.427,0.00043798406008087884
10,0.6,2066.403216666667,0.00044096041706069897
11,0.61,2032.5277540983607,0.00044396841252162915
12,0.62,1999.7450483870969,0.0004470085124950597
13,0.63,1968.0030634920636,0.0004500811918890659
14,0.64,1937.253015625,0.00045318693469724555
15,0.65,1907.4491230769231,0.00045632623421342704
16,0.66,1878.5483787878788,0.0004594995932524428
17,0.67,1850.510343283582,0.00046270752437716455
18,0.6799999999999999,1823.2969558823531,0.00046595055013201223
19,0.69,1796.8723623188407,0.0004692292032831453
20,0.7,1771.2027571428573,0.0004725440270655656
21,0.71,1746.2562394366198,0.0004758955754373602
22,0.72,1722.0026805555558,0.00047928441334132565
23,0.73,1698.4136027397262,0.00048271111697422326
24,0.74,1675.4620675675676,0.0004861762740639249
25,0.75,1653.1225733333333,0.0004896804841547187
26,0.76,1631.370960526316,0.0004932243589010573
27,0.77,1610.1843246753247,0.0004968085223700349
28,0.78,1589.540935897436,0.0005004336113528997
29,0.79,1569.420164556962,0.0005041002756859156
30,0.8,1549.8024125,0.0005078091785808994
31,0.81,1530.669049382716,0.0005115609969657746
32,0.8200000000000001,1512.0023536585365,0.0005153564218354939
33,0.8300000000000001,1493.7854578313252,0.000519196158613702
34,0.8400000000000001,1476.0022976190476,0.0005230809275255199
35,0.8500000000000001,1458.6375647058824,0.0005270114639818468
36,0.86,1441.6766627906977,0.0005309885189756011
37,0.87,1425.1056666666668,0.0005350128594903275
38,0.88,1408.9112840909092,0.0005390852689216206
39,0.89,1393.0808202247192,0.0005432065475118393
40,0.9,1377.6021444444445,0.0005473775127985926
41,0.91,1362.4636593406594,0.0005515990000775124
42,0.9199999999999999,1347.6542717391305,0.0005558718628798399
43,0.9299999999999999,1333.163365591398,0.0005601969734653823
44,0.94,1318.9807765957448,0.0005645752233314118
45,0.95,1305.0967684210527,0.0005690075237381134
46,0.96,1291.5020104166667,0.0005734948062512041
47,0.97,1278.187556701031,0.0005780380233023843
48,0.98,1265.1448265306124,0.0005826381487682975
49,0.99,1252.365585858586,0.0005872961785687161
50,1.0,1239.84193,0.0005920131312846978
51,1.01,1227.5662673267327,0.0005967900487974863
52,1.02,1215.5313039215687,0.0006016279969489738
53,1.03,1203.7300291262136,0.0006065280662245687
54,1.04,1192.155701923077,0.0006114913724593602
55,1.05,1180.801838095238,0.0006165190575684995
56,1.06,1169.6621981132075,0.0006216122903027769
57,1.07,1158.7307757009346,0.0006267722670303958
58,1.08,1148.001787037037,0.0006320002125460134
59,1.0899999999999999,1137.469660550459,0.0006372973809081535
60,1.1,1127.1290272727272,0.0006426650563061499
61,1.1099999999999999,1116.974711711712,0.0006481045539578369
62,1.12,1107.0017232142857,0.0006536172210392613
63,1.13,1097.2052477876107,0.000659204437647742
64,1.1400000000000001,1087.580640350877,0.000664867617799678
65,1.15,1078.1234173913044,0.0006706082104645641
