,eV,nm,intensity
0,0.5,2479.68386,0.0007204960566138267
1,0.51,2431.0626078431374,0.0007262588129239565
2,0.52,2384.311403846154,0.0007320923863004166
3,0.53,2339.324396226415,0.0007379979598908204
4,0.54,2296.003574074074,0.0007439767419492285
5,0.55,2254.2580545454543,0.0007500299664840417
6,0.56,2214.0034464285714,0.0007561588939256265
7,0.5700000000000001,2175.161280701754,0.0007623648118143601
8,0.58,2137.6585,0.000768649035509822
9,0.59,2101.427,0.0007750129089218752
10,0.6,2066.403216666667,0.0007814578052644282
11,0.61,2032.5277540983607,0.0007879851278326742
12,0.62,1999.7450483870969,0.0007945963108046701
13,0.63,1968.0030634920636,0.0008012928200681186
14,0.64,1937.253015625,0.0008080761540732774
15,0.65,1907.4491230769231,0.0008149478447129485
16,0.66,1878.5483787878788,0.0008219094582305375
17,0.67,1850.510343283582,0.0008289625961572133
18,0.6799999999999999,1823.2969558823531,0.000836108896279258
19,0.69,1796.8723623188407,0.0008433500336367117
20,0.7,1771.2027571428573,0.0008506877215544985
21,0.71,1746.2562394366198,0.0008581237127072393
22,0.72,1722.0026805555558,0.0008656598002190324
23,0.73,1698.4136027397262,0.000873297818799524
24,0.74,1675.4620675675676,0.0008810396459176501
25,0.75,1653.1225733333333,0.0008888872030144937
26,0.76,1631.370960526316,0.000896842456756764
27,0.77,1610.1843246753247,0.0009049074203324669
28,0.78,1589.540935897436,0.0009130841547904079
29,0.79,1569.420164556962,0.0009213747704252374
30,0.8,1549.8024125,0.0009297814282098328
31,0.81,1530.669049382716,0.0009383063412768802
32,0.8200000000000001,1512.0023536585365,0.0009469517764516085
33,0.8300000000000001,1493.7854578313252,0.0009557200558377186
34,0.8400000000000001,1476.0022976190476,0.0009646135584586389
35,0.8500000000000001,1458.6375647058824,0.0009736347219563335
36,0.86,1441.6766627906977,0.000982786044350001
37,0.87,1425.1056666666668,0.0009920700858570965
38,0.88,1408.9112840909092,0.0010014894707792296
39,0.89,1393.0808202247192,0.0010110468894556166
40,0.9,1377.6021444444445,0.0010207451002868647
41,0.91,1362.4636593406594,0.0010305869318320362
42,0.9199999999999999,1347.6542717391305,0.00104057528498204
43,0.9299999999999999,1333.163365591398,0.0010507131352125677
44,0.94,1318.9807765957448,0.0010610035349199417
45,0.95,1305.0967684210527,0.0010714496158433923
46,0.96,1291.5020104166667,0.001082054591577468
47,0.97,1278.187556701031,0.0010928217601784472
48,0.98,1265.1448265306124,0.0011037545068688188
49,0.99,1252.365585858586,0.0011148563068441018
50,1.0,1239.84193,0.0011261307281864616
51,1.01,1227.5662673267327,0.0011375814348898441
52,1.02,1215.5313039215687,0.0011492121900015385
53,1.03,1203.7300291262136,0.0011610268588853605
54,1.04,1192.155701923077,0.0011730294126118947
55,1.05,1180.801838095238,0.0011852239314815102
56,1.06,1169.6621981132075,0.001197614608686169
57,1.07,1158.7307757009346,0.0012102057541163419
58,1.08,1148.001787037037,0.0012230017983196756
59,1.0899999999999999,1137.469660550459,0.0012360072966184077
60,1.1,1127.1290272727272,0.0012492269333929016
61,1.1099999999999999,1116.974711711712,0.001262665526539016
62,1.12,1107.0017232142857,0.0012763280321075082
63,1.13,1097.2052477876107,0.0012902195491340273
64,1.1400000000000001,1087.580640350877,0.0013043453246687799
65,1.15,1078.1234173913044,0.0013187107590153905
66,1.1600000000000001,1068.82925,0.0013333214111890357
67,1.17,1059.6939572649574,0.0013481830046044435
68,1.1800000000000002,1050.7134999999998,0.0013633014330049857
69,1.19,1041.883974789916,0.0013786827666446306
70,1.2000000000000002,1033.2016083333333,0.0013943332587352884
71,1.21,1024.6627520661157,0.0014102593521726674
72,1.22,1016.2638770491803,0.0014264676865546032
73,1.23,1008.0015691056911,0.0014429651055065365
74,1.24,999.8725241935484,0.0014597586643297078
75,1.25,991.873544,0.0014768556379885027
76,1.26,984.0015317460318,0.0014942635294543547
77,1.27,976.2534881889763,0.0015119900784246023
78,1.28,968.6265078125,0.0015300432704358148
79,1.29,961.1177751937985,0.0015484313463922088
80,1.3,953.7245615384616,0.0015671628125310487
81,1.31,946.4442213740458,0.0015862464508482076
82,1.32,939.2741893939394,0.0016056913300084754
83,1.33,932.211977443609,0.0016255068167666973
84,1.3399999999999999,925.2551716417912,0.0016457025879274083
85,1.35,918.4014296296297,0.0016662886428723623
86,1.3599999999999999,911.6484779411766,0.0016872753166871316
87,1.37,904.9941094890511,0.001708673293919972
88,1.38,898.4361811594204,0.0017304936230081525
89,1.3900000000000001,891.9726115107914,0.0017527477314092667
90,1.4,885.6013785714287,0.0017754474414773658
91,1.4100000000000001,879.3205177304964,0.0017986049871263879
92,1.42,873.1281197183099,0.0018222330313260252
93,1.4300000000000002,867.0223286713286,0.0018463446844782308
94,1.44,861.0013402777779,0.001870953523725616
95,1.4500000000000002,855.0633999999999,0.0018960736132464962
96,1.46,849.2068013698631,0.0019217195255949323
97,1.47,843.4298843537415,0.001947906364148072
98,1.48,837.7310337837838,0.0019746497867273102
99,1.49,832.108677852349,0.0020019660304643624
100,1.5,826.5612866666667,0.002029871937988208
