,smi_filename,smiles,sTDDFTxtb_HOMO,B3LYP_HOMO,A_or_D
0,0_TL,C(=C1C(=O)c2cc(F)c(F)cc2C1=C(C#N)C#N),-16.456,-7.491072,A
1,104_TL,C(=C1C(=O)c2cc(Br)ccc2C1=C(C#N)C#N),-16.31,-7.38347,A
2,106_TL,C(=C1C(=O)c2ccsc2C1=C(C#N)C#N),-15.573,-6.840301000000001,A
3,107_TL,C(=C1C(=O)c2sccc2C1=C(C#N)C#N),-15.731,-6.956747000000001,A
4,109_TL,C(=C1C(=O)c2cc(Cl)sc2C1=C(C#N)C#N),-15.495,-6.782815,A
5,10_TL,C(=C1C(=O)N(CC)C(=S)N(CC)C1=O),-14.764,-6.2440679999999995,D
6,111_TL,C(=C1C(=O)c2ccc(Cl)cc2C1=C(C#N)C#N),-16.358,-7.418846000000001,A
7,12_TL,C(=C1SC(=S)N(CC)C1=O),-14.847,-6.305238999999999,D
8,151_TL,C(=C1C(=O)c2c(sc3ccsc23)C1=C(C#N)C#N),-14.842,-6.301554,D
9,154_TL,C(=C1C(=O)c2cc3ccc(F)cc3cc2C1=C(C#N)C#N),-15.785,-6.996545,A
10,159_TL,C(=C1C(=O)c2c(ccc3ccccc23)C1=C(C#N)C#N),-15.676,-6.916212000000001,A
11,161_TL,C(=C1C(=O)c2cc(Br)c(Br)cc2C1=C(C#N)C#N),-16.38,-7.435059999999999,A
12,162_TL,C(=C1C(=O)c2cc(Cl)c(Br)cc2C1=C(C#N)C#N),-16.315,-7.387155000000001,A
13,167_TL,N#Cc1ccc(s1),-15.614,-6.8705180000000015,A
14,170_TL,C(=C1C(=O)c2ccccc2C1=O),-16.309,-7.382733000000001,A
15,172_TL,C(=C1C(=O)c2cc(C)ccc2C1=C(C#N)C#N),-16.108,-7.234596000000001,A
16,194_TL,C(=C(C#N)C(=O)OCC),-17.476,-8.242812,A
17,1_TL,C(=C1C(=O)c2ccccc2C1=C(C#N)C#N),-16.284,-7.364308,A
18,208_TL,N#CC(=C(C#N)C#N),-18.202,-8.777874,A
19,211_TL,CC1(C)C(=C(C#N)C(=C(C#N)C#N)O1),-15.988,-7.146156,A
20,212_TL,CCn1c(=C(C#N)C#N)sc(c1=O)=C1C=CC(CC1),-14.648,-6.158575999999999,D
21,213_TL,CCN1C(=O)C(C(=O)N(CC)C1=S)=C1C=CC(CC1),-14.584,-6.111408,D
