,smi_filename,smiles,sTDDFTxtb_HOMO,B3LYP_HOMO,A_or_D,fused_ring_count
0,100_C,c1cc2C(CC)(CC)c3c(-c2cc1)ccc(c3),-15.072,-6.471064,D,3
1,101_C,c1cc2C(=O)NC(=O)c3cc(cc(c1)c23),-15.743,-6.965591,A,3
2,103_C,c1c(F)c(F)c(c2nc(c3cc(c(OCC)c(c3)F)F)c(nc12)c1cc(F)c(OCC)c(F)c1),-15.108,-6.497596,D,2
3,105_C,c1cc2n(CC)c3c(c2cc1)ccc(c3),-14.178,-5.812186,D,3
4,112_C,c1c(C#N)c(C#N)c(c2c1nsn2),-16.359,-7.419583,A,2
5,115_C,c1cc2c(CC)c3c(c(CC)c2s1)cc(s3),-13.935,-5.633095,D,3
6,118_C,c1sc2c3c(n(CC)c2c1)cc(s3),-13.529,-5.333873,D,3
7,119_C,C1=C2C(C(=O)N1CC)=C(N(CC)C2=O),-14.366,-5.950742,D,2
8,120_C,c1cc2[Si](CC)(CC)c3c(-c2cc1)ccc(c3),-15.081,-6.477697,D,3
9,121_C,c1cc(CC)c(cc1CC),-15.635,-6.885995,A,1
10,122_C,c1cc2c(OCC)c3c(c(OCC)c2s1)cc(s3),-13.538,-5.340506,D,3
11,123_C,c1cnc(s1),-15.508,-6.792396,A,1
12,124_C,c1c(F)cc(c(F)c1),-16.203,-7.304611,A,1
13,125_C,c1c(F)c(F)c(s1),-15.428,-6.733436,A,1
14,126_C,c1c(CC)c2c(s1)cc(s2),-14.181,-5.814397,D,2
15,128_C,c1cc2C(=O)c3c(-c2cc1)ccc(c3),-15.432,-6.736384,A,3
16,130_C,c1ccc(o1),-15.123,-6.508651,D,1
17,131_C,c1sc2-c3c([Ge](CC)(CC)c2c1)cc(s3),-13.571,-5.364827,D,3
18,134_C,c1sc2-c3c(OC(c4ccc(CC)cc4)(c4ccc(CC)cc4)c2c1)cc(s3),-13.406,-5.243222,D,3
19,137_C,c1cc(F)c(c2c1nsn2),-15.656,-6.901472,A,2
20,138_C,c1sc2cc3cc(sc3cc2c1),-14.141,-5.784917,D,3
21,139_C,c1ccc([se]1),-14.96,-6.38852,D,1
22,13_C,c1c2c(nsn2)c(c2cc(C(=O)OCC)sc12),-14.437,-6.003069,D,3
23,144_C,c1cc2c(c3ccc([Si](CC)(CC)CC)s3)c3c(c(c4ccc([Si](CC)(CC)CC)s4)c2s1)cc(s3),-13.553,-5.351561,D,3
24,147_C,c1cc(OCC)c(s1),-14.225,-5.846825,D,1
25,148_C,c1c(OCC)c(OCC)c(s1),-14.034,-5.706058,D,1
26,156_C,c1c(F)c(F)c(c2c1non2),-16.552,-7.561824,A,2
27,15_C,c1c(c2c(cc(CC)cc2CC)CC)cc(s1),-14.863,-6.317031,D,1
28,164_C,c1c(N(c2ccc(C)cc2)c2ccc(C)cc2)c2sc(c(N(c3ccc(C)cc3)c3ccc(C)cc3)c2s1),-12.991,-4.937367,D,2
29,165_C,c1ccc(cc1),-16.165,-7.276605,A,1
30,168_C,c1c2nn(CC)nc2c(c(c1)F),-15.715,-6.944955,A,2
31,16_C,c1cc(C(=O)OCC)c(s1),-15.23,-6.58751,A,1
32,178_C,c1cc(OCC)c(cc1F),-15.077,-6.474749,D,1
33,17_C,c1c2nn(CC)nc2c(c(c1F)F),-15.919,-7.095303,A,2
34,180_C,c1c(N(c2ccccc2)c2ccccc2)c2sc(c(N(c3ccccc3)c3ccccc3)c2s1),-13.119,-5.031703,D,2
35,182_C,c1c(OC)c(F)c(c(OC)c1F),-14.544,-6.081928,D,1
36,183_C,c1sc2c3c(oc(=O)c2c1)cc(s3),-14.258,-5.871146,D,3
37,185_C,c1cc(OC)c(s1),-14.164,-5.801868,D,1
38,187_C,c1cc(Cl)c(s1),-15.13,-6.51381,D,1
39,18_C,c1cc(c2ccccc2)c(s1),-14.725,-6.215325,D,1
40,196_C,c1c2nc(c3ccc(OCC)c(c3)OCC)c(c3ccc(OCC)c(OCC)c3)nc2c(c(c1F)F),-14.264,-5.875568,D,2
41,197_C,c1c(F)c(F)c(c(F)c1F),-16.355,-7.416635,A,1
42,198_C,c1cc2c(c3ccc(C=Cc4ccc(CC)s4)s3)c3c(c(c4ccc(C=Cc5ccc(CC)s5)s4)c2s1)cc(s3),-13.43,-5.26091,D,3
43,199_C,c1c(F)cc(cc1),-16.192,-7.296504,A,1
44,19_C,c1cc(c2c(cc(C)cc2C)C)c(s1),-14.883,-6.331771,D,1
45,200_C,c1cc(C(=O)OC)c(s1),-15.253,-6.604461,A,1
46,201_C,c1c(c2ccc(CC)s2)cc(s1),-13.935,-5.633095,D,1
47,202_C,c1cc2c(c3ccc(C=Cc4ccc(SCC)s4)s3)c3c(c(c4ccc(C=Cc5ccc(SCC)s5)s4)c2s1)cc(s3),-13.433,-5.263121,D,3
48,204_C,c1cc2c(c3cc(Cl)c(SCC)s3)c3c(c(c4sc(SCC)c(c4)Cl)c2s1)cc(s3),-13.551,-5.350087,D,3
49,205_C,c1cc(CC)c([se]1),-14.815,-6.281655,D,1
50,207_C,c1cc(SCC)c(s1),-14.254,-5.868198,D,1
51,20_C,c1cc2c(c3cc(CC)c(CC)s3)c3c(c(c4cc(CC)c(s4)CC)c2s1)cc(s3),-13.542,-5.343454,D,3
52,214_C,c1sc(c2c1OCCO2),-14.318,-5.915366,D,2
53,221_C,c1sc(c2c1OCCCO2),-14.185,-5.817345,D,2
54,224_C,c1cc2c(c3ccc(CC)cc3)c3c(c(c4ccc(CC)cc4)c2s1)cc(s3),-13.912,-5.616144,D,3
55,244_C,c1cc2c(c3cc(F)c(SCC)s3)c3c(c(c4sc(SCC)c(c4)F)c2s1)cc(s3),-13.521,-5.327977,D,3
56,245_C,c1cc2c(c3sc(CC)c(Cl)c3Cl)c3c(c(c4ccc(CC)s4)c2s1)cc(s3),-13.727,-5.479799,D,3
57,247_C,c1c2nn(CC)nc2c(c(c1Cl)Cl),-15.727,-6.953799,A,2
58,248_C,c1cc2c(c3ccc(OCC)cc3)c3c(c(c4ccc(OCC)cc4)c2s1)cc(s3),-13.764,-5.507068,D,3
59,249_C,c1cc2c(c3sc(CC)c(F)c3F)c3c(c(c4sc(CC)c(c4F)F)c2s1)cc(s3),-13.864,-5.580768,D,3
60,250_C,c1nnc(c2C(=O)N(CC)C(=O)c12),-16.226,-7.321562,A,2
61,252_C,c1cc2c(c3sc(CC)c(Cl)c3Cl)c3c(c(c4sc(CC)c(c4Cl)Cl)c2s1)cc(s3),-13.903,-5.609511,D,3
62,255_C,c1cc2c(c3cc(Cl)c(CC)s3)c3c(c(c4ccc(CC)s4)c2s1)cc(s3),-13.653,-5.425261,D,3
63,256_C,c1cc(C(=O)CC)c(s1),-15.332,-6.662684,A,1
64,257_C,c1cc2c(c3cc(F)c(CC)s3)c3c(c(c4sc(CCC)c(c4)F)c2s1)cc(s3),-13.757,-5.501909,D,3
65,258_C,c1cc2c(c3cc(F)c(OCC)c(F)c3)c3c(c(c4cc(c(OCC)c(c4)F)F)c2s1)cc(s3),-14.045,-5.714165,D,3
66,261_C,c1cc(C(=O)O)c(s1),-15.278,-6.622886,A,1
67,262_C,c1sc2cc(sc2c1),-14.287,-5.892519,D,2
68,263_C,c1cc2c(c3cc(Cl)c([Si](CC)(CC)CC)s3)c3c(c(c4sc([Si](CC)(CC)CC)c(c4)Cl)c2s1)cc(s3),-13.685,-5.448845,D,3
69,264_C,c1nc2c(c3ccc(CC)s3)c3c(c(c4ccc(CC)s4)c2s1)nc(s3),-13.607,-5.391359,D,3
70,267_C,c1c(SCC)c(SCC)c(c2c1C(=O)c1c(C2=O)csc1),-14.837,-6.297869,D,3
71,270_C,c1cc2c(c3cccc(SCC)c3)c3c(c(c4cccc(SCC)c4)c2s1)cc(s3),-13.988,-5.672156,D,3
72,271_C,c1cc2c(c3cc(OCC)c(Cl)s3)c3c(c(c4cc(OCC)c(s4)Cl)c2s1)cc(s3),-13.568,-5.362616,D,3
73,273_C,c1cc2c(c3cc(CC)c(Cl)s3)c3c(c(c4cc(CC)c(s4)Cl)c2s1)cc(s3),-13.703,-5.462111,D,3
74,277_C,c1ccc2C(C(=O)N(C)c2c1)=C1C(=O)N(C)c2cc(ccc12),-14.448,-6.011176,D,2
75,278_C,c1cc2c(c3cc4sc(CC)cc4s3)c3c(c(c4sc5cc(CC)sc5c4)c2s1)cc(s3),-13.454,-5.278598,D,3
76,279_C,C1=C2C(C(=O)N1C)=C(N(C)C2=O),-14.405,-5.979485,D,2
77,280_C,c1c2C(=O)N(C)C(=O)c2c(s1),-15.835,-7.033395,A,2
78,281_C,c1ccc(c2C(=Cc3ccsc3)C(=O)N(CC)c12),-14.315,-5.913155,D,2
79,282_C,c1sc(c2sc(C(=O)OCC)c(c12)Cl),-13.967,-5.656679,D,2
80,283_C,c1sc(c2sc(c3c(cc(C(=O)OCC)s3)Cl)c(c12)Cl),-13.869,-5.584453,D,2
81,284_C,c1cc2c(c3cccc(OCC)c3)c3c(c(c4cccc(OCC)c4)c2s1)cc(s3),-13.877,-5.590349,D,3
82,285_C,c1c(F)c(F)c(c2nc(c3ccc(OCC)c(c3)F)c(nc12)c1ccc(OCC)c(F)c1),-14.937,-6.371569,D,2
83,286_C,c1ccc(c2nc(c3cccc(OCC)c3)c(nc12)c1cccc(OCC)c1),-15.045,-6.451165,D,2
84,287_C,c1cc2c(c3cc4sc([Si](CC)(CC)CC)cc4s3)c3c(c(c4sc5cc([Si](CC)(CC)CC)sc5c4)c2s1)cc(s3),-13.401,-5.239537,D,3
85,288_C,c1cc2c(c3ccc4cc(OCC)ccc4c3)c3c(c(c4cc5ccc(OCC)cc5cc4)c2s1)cc(s3),-13.824,-5.551288,D,3
86,289_C,c1cc2c(c3ccc(OCC)c(C(F)(F)F)c3)c3c(c(c4ccc(OCC)c(c4)C(F)(F)F)c2s1)cc(s3),-14.022,-5.697214,D,3
87,290_C,c1sc(c2sc(c3ccc(C(=O)OCC)s3)c(c12)Cl),-13.839,-5.562343,D,2
88,291_C,c1c(F)c(F)c(c2nc(c3cccc(OCC)c3)c(nc12)c1cccc(OCC)c1),-15.17,-6.54329,D,2
89,293_C,c1nnc(s1),-16.86,-7.78882,A,1
90,294_C,c1cc2c(c3ccc4ccccc4c3)c3c(c(OCC)c2s1)cc(s3),-13.631,-5.409047,D,3
91,295_C,c1cc2c(c3ccc4cc(SCC)ccc4c3)c3c(c(c4cc5ccc(SCC)cc5cc4)c2s1)cc(s3),-13.868,-5.583716,D,3
92,296_C,c1cc2c(c3ccc(CC)[se]3)c3c(c(c4ccc(CC)[se]4)c2s1)cc(s3),-13.58,-5.37146,D,3
93,298_C,c1cc2c(c3ccc4ccccc4c3)c3c(c(c4ccc(SCC)s4)c2s1)cc(s3),-13.84,-5.56308,D,3
94,299_C,c1c(F)c(F)c(c2nc(c3sc(CC)c(c3)F)c(nc12)c1cc(F)c(CC)s1),-14.731,-6.219747,D,2
95,300_C,c1ccc(c(F)c1F),-16.272,-7.355464,A,1
96,301_C,c1cc2c(c3cc(OCC)cc(OCC)c3)c3c(c(c4cc(cc(OCC)c4)OCC)c2s1)cc(s3),-13.713,-5.469481,D,3
97,302_C,c1c(CC)nc(s1),-15.175,-6.546975,A,1
98,303_C,c1cc2c(c3ccc([Si](CC)(CC)CC)s3)c3c(c(c4ccc([Si](CC)(CC)CC)s4)c2o1)cc(o3),-13.522,-5.328714,D,3
99,304_C,c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3),-14.032,-5.704584,D,3
100,305_C,c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3),-13.302,-5.166574,D,3
101,311_C,c1cc2c(c3cc4cc(CC)ccc4s3)c3c(c(c4sc5ccc(CC)cc5c4)c2s1)cc(s3),-13.852,-5.571924,D,3
102,316_C,c1c2cc(C(=O)OCC)sc2c(c2c1nn(CC)n2),-14.479,-6.034023,D,3
103,318_C,c1cc(c2cc(cc(OCC)c2)OCC)c(s1),-14.534,-6.074558,D,1
104,324_C,c1cc2c(c3ccc(CC)cc3)c3c(c(c4ccc(CC)cc4)c2o1)cc(o3),-14.197,-5.826189,D,3
105,325_C,c1cc2c(c3cc(F)c(CC)c(F)c3)c3c(c(c4cc(c(CC)c(c4)F)F)c2o1)cc(o3),-14.565,-6.097405,D,3
106,326_C,c1c(C(=O)OCC)c2c(s1)c(C(=O)OCC)c(s2),-14.465,-6.023705,D,2
107,327_C,c1cc2c(c3cc(F)c(CC)s3)c3c(c(c4sc(CC)c(c4)F)c2o1)cc(o3),-13.786,-5.523282,D,3
108,328_C,c1cc2c(c3cc(Cl)c(CC)s3)c3c(c(c4sc(CC)c(c4)Cl)c2o1)cc(o3),-13.721,-5.475377,D,3
109,32_C,c1sc(c2cc(CC)sc12),-13.796,-5.530652,D,2
110,330_C,c1c2c(non2)c(c(OCC)c1OCC),-15.394,-6.708378,A,2
111,339_C,c1cnc(cn1),-16.011,-7.163107,A,1
112,33_C,c1sc(c2cc(C(=O)OCC)sc12),-13.933,-5.631621,D,2
113,341_C,c1[se]c(c2cc(CC)sc12),-13.676,-5.442212,D,2
114,342_C,c1sc(c2cc(CC)[se]c12),-13.63,-5.40831,D,2
115,345_C,c1c(CC)c2c(s1)-c1c(C2(CC)CC)cc(s1),-13.485,-5.301445,D,3
116,346_C,c1ccc(nn1),-15.937,-7.108569,A,1
117,349_C,c1cc(c2c(OCC)cccc2OCC)c(s1),-14.185,-5.817345,D,1
118,34_C,c1sc2-c3c(C(CC)(CC)c2c1)cc(s3),-13.555,-5.353035,D,3
119,351_C,c1c(OCC)c(OCC)c(cc1),-14.299,-5.901363,D,1
120,354_C,c1ccc(cn1),-16.413,-7.459381,A,1
121,355_C,c1sc2-c3c(OC(CC)(CC)c2c1)cc(s3),-13.325,-5.183525,D,3
122,356_C,c1sc2-c3c(C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c2c1)ccc(c3),-14.255,-5.868935,D,3
123,357_C,c1ccc(c2C(=O)N(CC)C(=O)c12),-16.224,-7.320088,A,2
124,359_C,c1cc(c2ccc(CC)cc2)c(s1),-14.652,-6.161524,D,1
125,35_C,c1c(OCC)c(OCC)c(c2c1nsn2),-14.603,-6.125411,D,2
126,363_C,c1c(OCC)c(OCC)c(c2c1nccn2),-14.912,-6.353144,D,2
127,364_C,c1c(F)c(F)c(c2nc(CC)c(nc12)CC),-15.929,-7.102673,A,2
